"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,4398,2199.5,1269.73757131149,2199.5,2199.5,1630.1187,1,4398,4397,0,-1.20081858485165,19.1463660607786
"WC",2,4398,120.783992723965,88.4114227143947,78,117.535795454545,83.0256,20,509,489,0.222549821169735,-1.58734228529313,1.3331553712281
"RC2",3,4398,3.91587610959527,3.6389901828998,3.137265,3.45294089204545,2.864183049,-11.42857,24.24242,35.67099,1.32916047677536,2.96874347244559,0.0548723135454003
"RC3",4,4398,3.30285180536608,3.19134868560647,2.993845,3.00418196590909,2.793507507,-10.71429,23.07691,33.7912,1.02929594254612,2.82994122222184,0.0481223297969312
"RC6",5,4398,1.73217264665757,2.84750815420585,0.788955,1.21486989204545,1.169704683,-7.40741,25.00001,32.40742,2.24568683736126,7.79928962463829,0.0429375602591368
"RC1",6,4398,3.011957737608,2.94839506338083,2.39522,2.56085374147727,2.459381358,0,21.21212,21.21212,1.65629701723292,3.9775706026479,0.0444588334241182
"RC4",7,4398,4.86290421555252,3.60338721394918,4.390795,4.56486826136364,3.109301307,-10,26.08697,36.08697,1.05438264398189,2.4218897882209,0.0543354565666193
"RC10",8,4398,3.41300032742156,3.54018549317233,3.16743,3.21581901420455,2.838800937,-13.63636,25.00001,38.63637,0.68341884779776,2.93797476429352,0.0533824381563545
"RC7",9,4398,2.48494664847658,3.097607791305,1.80996,2.06494233806818,2.683446696,-12,31.81816,43.81816,1.57011753992812,5.54224672416284,0.0467088113520868
"RC8",10,4398,2.919784211005,3.04688574554073,2.27273,2.44116557954545,2.25481221,-6.89655,23.0769,29.97345,1.82515612201181,5.02899765683181,0.0459439738947284
"RC14",11,4398,2.86107717371533,3.43540337642555,2.38097,2.55992115625,3.020515806,-9.09091,25.92592,35.01683,1.16901025527151,3.85768155721548,0.051802429177188
"RC5",12,4398,1.22917200773079,2.87662626591953,0.378075,0.859778357954545,0.939575511,-12,29.16667,41.16667,2.3913215636721,11.9261608076423,0.043376632110254
"RC9",13,4398,3.03728789677126,2.68810530214731,2.5974,2.66783519318182,2.151645489,0,26.08697,26.08697,1.58988523214882,4.49509528918973,0.0405339255037341
"RC11",14,4398,1.65651906548431,3.07280724530816,1.250005,1.47867169886364,1.853257413,-13.04349,20,33.04349,0.811149687738312,3.37444432974776,0.0463348440513695
"RC15",15,4398,0.308044424738518,3.4832276957118,0,0.346900897727273,2.797354854,-15.625,21.05263,36.67763,-0.0960443151705767,2.22050189901246,0.0525235718324505
"RC12",16,4398,1.79320758071851,3.06587432636241,1.32744,1.58530734659091,1.968062544,-11.53845,24.13795,35.6764,0.966653892438097,3.98437133902449,0.0462303026035899
"RC13",17,4398,0.420895520691223,3.10622062999127,0,0.415498869318182,2.012585022,-19.0476,27.2727,46.3203,0.117316567910781,5.35907564526537,0.0468386843006674
