"Filename","WC","RC2","RC3","RC6","RC1","RC4","RC10","RC7","RC8","RC14","RC5","RC9","RC11","RC15","RC12","RC13"
"54_14_4665.txt",102,4.54545,3.63636,0.90909,5.45454,5.45454,0.90909,2.72727,3.63636,2.72727,0.90909,2.72727,3.63636,2.72727,0.90909,0
"54_14_4666.txt",200,5.74164,2.87082,5.26317,9.5694,7.65552,3.34929,2.39235,2.39235,0.47847,0.95694,2.39235,3.34929,4.30623,-0.47847,0.47847
"54_14_4667.txt",216,3.4632,2.5974,3.4632,3.8961,6.9264,2.5974,2.5974,3.4632,2.1645,-0.4329,3.8961,2.1645,0.4329,1.2987,2.1645
"54_14_4668.txt",227,2.46913,2.46913,1.23457,1.23456,4.11522,2.88065,0.41152,0,1.64609,0,0.41152,1.23455,1.64609,0,0.41152
"54_2_4550.txt",25,7.14286,3.57143,0,10.71429,7.14286,3.57143,7.14286,3.57143,3.57143,3.57143,0,10.71429,-3.57143,3.57143,3.57143
"54_2_4551.txt",30,3.125,9.375,3.125,0,-3.125,-3.125,0,0,3.125,0,3.125,0,6.25,0,0
"54_2_4552.txt",31,2.94118,0,0,5.88236,11.76471,5.88236,2.94118,2.94118,2.94118,0,0,-2.94118,0,-2.94118,8.82353
"54_2_4553.txt",35,16.21621,5.40541,2.7027,13.51351,8.10811,13.51351,2.7027,13.51351,8.10811,0,2.7027,10.81081,-5.4054,2.7027,5.40541
"54_2_4554.txt",38,2.43902,12.1951,2.43902,0,2.43902,2.43902,0,0,7.31706,0,4.87804,2.43902,7.31706,-4.87804,0
"54_2_4555.txt",44,4.08164,4.08164,6.12246,0,8.16328,-2.04082,2.04082,2.04082,4.08164,0,6.12246,-2.04082,0,6.12246,6.12246
"54_2_4556.txt",49,3.84616,1.92308,3.84616,3.84616,3.84616,0,1.92308,3.84616,1.92308,0,1.92308,1.92308,-1.92308,0,3.84616
"54_2_4557.txt",57,3.33334,1.66667,0,1.66667,3.33334,-1.66667,1.66667,3.33334,1.66667,5.00001,0,3.33334,1.66667,3.33334,-1.66667
"54_2_4558.txt",204,1.84332,6.45162,0.92166,2.30415,5.06913,2.76498,0.46083,1.84332,5.06913,0,1.38249,2.30415,1.38249,0.46083,-0.46083
"54_2_4559.txt",206,5.02282,1.36986,0.91324,5.93606,4.10958,1.82648,4.5662,4.10958,4.10958,1.36986,1.36986,1.82648,0.45662,2.2831,1.82648
"54_2_4560.txt",225,1.26051,2.94119,0.42017,1.68068,2.94119,1.26051,4.20169,2.52102,1.26051,0.84034,0,1.68068,1.26051,-0.42017,0.84034
"54_3_4561.txt",31,8.57142,-2.85714,2.85714,8.57142,8.57142,0,11.42856,8.57142,5.71428,-2.85714,8.57142,-2.85714,-2.85714,2.85714,2.85714
"54_3_4562.txt",37,2.5641,5.1282,0,2.5641,12.8205,2.5641,2.5641,7.6923,0,2.5641,10.2564,7.6923,5.1282,5.1282,0
"54_3_4563.txt",51,0,1.88679,0,3.77358,3.77358,-3.77358,1.88679,5.66037,1.88679,5.66037,0,3.77358,1.88679,-1.88679,-1.88679
"54_3_4564.txt",57,1.63934,4.91802,0,3.27868,0,6.55736,1.63934,0,1.63934,0,0,-1.63934,1.63934,-1.63934,1.63934
"54_3_4565.txt",74,7.6923,3.84615,1.28205,7.6923,11.53845,5.1282,6.41025,3.84615,5.1282,3.84615,3.84615,5.1282,-5.1282,3.84615,-1.28205
"54_3_4566.txt",78,9.63856,2.40964,4.81928,3.61446,6.0241,1.20482,1.20482,4.81928,2.40964,0,4.81928,2.40964,2.40964,-2.40964,4.81928
"54_3_4567.txt",162,3.46819,2.89015,1.73409,2.89016,2.89016,0.57804,7.51442,2.89016,1.15607,1.15606,1.73409,4.04622,1.15606,-0.57803,0
"54_3_4568.txt",180,2.6178,4.71204,2.09424,2.09424,2.09424,3.66492,1.57068,2.09424,1.04712,0,4.18848,0.52356,2.6178,1.04712,3.14136
"54_3_4569.txt",183,2.5773,2.06185,1.03092,1.54638,2.5773,2.06184,1.54638,1.03092,-0.51546,0.51546,2.5773,2.06184,1.54638,2.06184,-1.03092
"54_4_4570.txt",33,5.71428,5.71428,0,8.57142,2.85714,2.85714,2.85714,5.71428,0,2.85714,2.85714,2.85714,0,2.85714,2.85714
"54_4_4571.txt",46,4.16666,2.08333,0,0,2.08333,6.24999,4.16666,2.08333,2.08333,0,0,6.24999,0,0,2.08333
"54_4_4572.txt",46,10.41666,0,2.08333,10.41665,10.41665,0,8.33333,8.33333,6.24999,0,6.24999,4.16666,2.08333,0,4.16666
"54_4_4573.txt",47,0,1.96078,0,0,0,1.96078,3.92156,1.96078,1.96078,0,0,3.92156,0,-1.96078,1.96078
"54_4_4574.txt",51,3.7037,3.7037,0,7.4074,7.4074,3.7037,3.7037,1.85185,3.7037,1.85185,0,3.7037,-1.85185,1.85185,0
"54_4_4575.txt",52,12.96295,3.7037,3.7037,9.25925,7.4074,11.1111,9.25925,3.7037,7.4074,1.85185,1.85185,3.7037,-7.4074,1.85185,-1.85185
"54_4_4576.txt",56,13.55935,5.08476,10.16951,3.38984,1.69492,6.77968,5.08476,3.38984,6.77968,0,0,3.38984,-1.69492,-1.69492,5.08476
"54_4_4577.txt",99,1.92308,0,2.88462,1.92308,1.92308,0.96154,5.76924,1.92308,0.96154,0.96154,0.96154,1.92308,0.96154,0.96154,1.92308
"54_4_4578.txt",175,8.19674,3.82515,4.3716,1.63935,0,4.91805,3.27869,3.82514,4.3716,0.54645,1.0929,-1.0929,2.1858,0.54645,0.54645
"54_4_4579.txt",193,1.9608,4.41178,0.4902,0.9804,1.9608,1.9608,3.92158,0.9804,0.4902,1.96079,0.4902,3.92157,-1.4706,1.00000000000655e-05,0.9804
"54_4_4580.txt",201,5.21325,3.79146,3.79146,5.21325,7.10898,3.31753,4.73932,3.31752,2.36965,0,3.31752,0.47395,0,2.84359,0.94785
"54_5_4581.txt",53,3.57142,3.57142,0,7.14284,10.71426,-1.78572,5.35713,3.57142,1.78571,10.71428,0,7.14285,0,0,-1.78572
"54_5_4582.txt",70,6.66665,3.99999,0,3.99999,7.99998,3.99999,1.33333,3.99999,3.99999,2.66666,2.66666,2.66666,-1.33333,-1.33333,5.33332
"54_5_4583.txt",75,3.70371,13.58026,2.46914,1.23457,4.93828,1.23457,1.23457,3.70371,9.87655,0,2.46914,9.99999999962142e-06,0,-2.46913,3.70371
"54_5_4584.txt",206,7.27277,0.90911,2.7273,2.27274,4.54547,2.27275,4.54549,2.27274,4.09094,2.27275,3.18183,5.00004,0,0.90911,1.36364
"54_5_4585.txt",216,3.55554,2.22221,0.88888,1.77776,2.66664,1.33332,1.77776,3.55555,6.2222,-0.88889,2.66665,0,3.11109,0.44443,2.66666
"54_5_4586.txt",270,3.50879,3.50878,2.10527,3.50878,1.40351,3.15791,1.40351,2.45614,0.70176,1.40351,1.05264,1.75439,0.35088,-0.35088,0.35088
"54_6_4587.txt",49,13.72547,7.84312,13.72547,9.80391,3.92156,3.92156,0,5.88234,7.84312,0,0,1.96078,-3.92157,1.96078,3.92156
"54_6_4588.txt",51,9.25925,1.85185,5.55555,7.4074,9.25925,0,1.85185,5.55555,5.55555,1.85185,5.55555,1.85185,0,-1.85185,9.25925
"54_6_4589.txt",54,6.66668,3.33334,1.66667,3.33334,6.66668,-1.66667,10.00001,1.66667,5.00001,6.66668,3.33334,6.66667,-1.66667,1.66667,0
"54_6_4590.txt",56,8.4746,5.08476,1.69492,3.38984,5.08476,5.08476,1.69492,1.69492,3.38984,3.38984,0,1.69492,-1.69492,0,5.08476
"54_6_4591.txt",62,1.49254,4.47761,1.49254,0,2.98508,-2.98508,1.49254,1.49254,-1.49254,4.47761,1.49254,5.97016,2.98508,2.98508,1.49254
"54_6_4592.txt",67,9.85915,7.04225,1.40845,4.22535,5.6338,9.85915,2.8169,4.22535,0,0,1.40845,9.85915,-2.8169,1.40845,0
"54_6_4593.txt",69,10.8108,2.7027,12.16215,1.35135,2.7027,0,0,1.35135,4.05405,0,0,0,5.4054,4.05405,5.4054
