"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3758,1879.5,1084.98548377386,1879.5,1879.5,1392.9027,1,3758,3757,0,-1.20095799875455,17.6988700204279
"WC",2,3758,144.318520489622,82.7246326508107,201,144.989694148936,59.304,31,509,478,-0.156945535155928,-1.47167828428484,1.34944894901424
"RC2",3,3758,3.54851910058542,3.34138796838468,2.7027,3.14991295545213,2.653053396,-10.25641,22.58066,32.83707,1.27074704179362,2.66655395216292,0.0545065277136813
"RC3",4,3758,4.94738907397552,3.70586300669505,4.54549,4.70926474734043,3.312410094,-11.11112,26.31579,37.42691,0.744487651487533,1.75350803612467,0.0604520416631475
"RC1",5,3758,4.37763533262374,3.66344608362893,3.8961,4.09220014295213,3.175299246,-11.7647,26.47062,38.23532,0.914880341473723,2.25100436315931,0.0597601138731069
"RC5",6,3758,2.35198724321448,3.82172594617239,2.37125,2.37847370013298,3.51561525,-16.21622,19.14894,35.36516,-0.0661338455012569,1.31632176598809,0.0623420605958077
"RC4",7,3758,2.87056177221927,4.11848040963054,2.574315,2.79255778922872,3.698812719,-18.18181,21.2121,39.39391,0.175384755350153,1.74843836870742,0.0671828799019416
