"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3591,1796,1036.77673585011,1796,1796,1331.3748,1,3591,3590,0,-1.20100255269069,17.301252363148
"WC",2,3591,142.485937064884,83.6921421813482,201,142.813435433345,63.7518,30,509,479,-0.127655885673594,-1.52130227576489,1.39661589870137
"RC6",3,3591,3.74052969646338,3.08719992263298,2.94118,3.37995970762269,2.4403596,-2.7027,27.27272,29.97542,1.42194213870955,3.46596878381904,0.0515177695544726
"RC2",4,3591,1.40438097187413,2.58633844305904,0.46512,1.04904432300731,1.163663088,-8.33334,19.51217,27.84551,1.91525178893537,6.31354850466323,0.0431596240083313
"RC7",5,3591,3.14540491785018,2.6812898341878,2.6087,2.80177443090846,2.136975162,0,21.21211,21.21211,1.5548987955183,3.79450981913746,0.0447441290645753
"RC3",6,3591,2.85282416875522,2.84593705187917,2.54238,2.64240011138183,2.496713226,-10.25641,17.14285,27.39926,0.807617843541447,2.1839601106143,0.0474916859547604
"RC1",7,3591,2.497554160401,3.4928291451654,2.29008,2.42828496693352,2.869231302,-15.38461,21.05263,36.43724,0.255543575981414,2.08036733992993,0.0582867230834565
"RC4",8,3591,2.25897709830131,3.31641923655214,1.89572,2.04973128785242,2.810594472,-8.88889,19.51217,28.40106,0.843474629698762,2.42051129904756,0.0553428758280729
"RC8",9,3591,2.64855841826789,2.88712437523222,2.29358,2.43601536373129,2.610072822,-9.09091,20.58825,29.67916,0.870827070576789,2.88703320328946,0.0481790010254535
"RC5",10,3591,2.45365373990532,2.89800107307387,1.9084,2.08267896971806,2.158532166,-6.81818,28.20512,35.0233,1.89325585961099,7.16813071242427,0.0483605063464441
"RC9",11,3591,2.0079259871902,3.08885397259723,2.04082,1.98644862513053,2.95252377,-12.5,23.68421,36.18421,0.154044216345777,2.59361785800493,0.0515453715779973
"RC10",12,3591,1.77785586744639,2.78201653494217,1.61291,1.68407167072746,2.391300366,-13.88889,16.66668,30.55557,0.35797589811931,2.12045705721325,0.0464250098262659
