"","RC6","RC2","RC7","RC3","RC1","RC4","RC8","RC5","RC9","RC10"
"question",0.278469833727567,0.165043064817376,-0.0786820584219321,-0.0866947853573224,0.269258030528111,-0.00518115452728334,-0.170460988388759,0.0368285233708236,0.0317099814639738,0.15039999468941
"move",0.0518134448474894,0.0259652775556481,-0.0452301624681503,0.0503666043371885,0.185355982433493,0.0167123717680272,-0.0326847632903708,0.0409887119346754,0.268426865600272,0.0317242248033737
"answer",0.150240580497002,0.138151548643242,-0.0362837711094235,-0.101031763221147,0.318748010829183,-0.014978133619206,-0.155175037374749,0.0659034730488105,0.135719493280248,-0.0384844688188002
"discuss",-0.0316969512112574,0.0993188859669894,-0.0560851214199832,0.316980987561811,0.0196138834676879,0.0581552721727105,-0.0724588809788849,-0.0968242976486852,-0.00661742585236181,0.0839913840134111
"prepare",0.327478043836804,0.0178393110941206,0.166842445464083,-0.0264305847625523,-0.0103594009622744,0.0935392360526089,-0.0476601435144419,-0.0376880282251356,0.100566806996614,-0.0223296251450574
"plan",0.0307211774689867,-0.0636716661888013,0.0068838185369041,0.391384637682725,-0.00445781849911418,0.15252459055641,0.0969070012697937,-0.0685110175308326,0.044029945276433,-0.156410822147527
"complete",-0.000232058211003181,-0.0040607779778449,-0.00478672046289038,0.0146931365890739,0.162889429467043,0.454506609316695,0.0766764105816941,0.0779447562479154,0.0204134461401503,-0.00174522060985336
"task",-0.0242535370747745,-0.0330940960739621,-0.0321292689687039,-0.0605737534950879,0.163937039140103,0.32962608921233,-0.082766745375659,0.0451766444229758,0.0727638587053728,-0.0671416848436418
"train",-0.0652075794826898,-0.0761391171078552,0.00631707720404516,-0.0200690281494015,0.335536655923524,-0.0516919020334281,0.0549657288286754,-0.0442780559671814,0.0987386979991769,-0.0438237375872357
"day",0.184266199664045,-0.0380707116333045,0.147201714114673,0.138305082899332,0.217426726573427,0.151696194070415,0.235180320536822,0.102780593859645,0.0961068696500923,-0.0628340501843252
