

KMO_TEST:

KMO_METRIC: 0.674999301157518
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 47775, df = 11325, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC2   RC7   RC6   RC8  RC14   RC3   RC5   RC1   RC4  RC15  RC11   RC9  RC13  RC12  RC10    h2   u2 com
ready         0.09  0.09  0.06  0.13  0.00 -0.15  0.00  0.13 -0.01  0.09 -0.05 -0.08  0.01  0.01  0.16 0.118 0.88 7.1
today         0.01  0.11  0.05  0.16  0.15 -0.04  0.02  0.20  0.05  0.14  0.03  0.14  0.07  0.05 -0.03 0.154 0.85 6.4
friend        0.04  0.02  0.34  0.02 -0.13  0.38  0.02  0.00 -0.04  0.07  0.03  0.20 -0.06 -0.11  0.12 0.354 0.65 3.6
excite       -0.06  0.06  0.34  0.02 -0.14  0.05  0.09  0.12 -0.12  0.03 -0.06 -0.04  0.07  0.04  0.02 0.196 0.80 2.7
life         -0.01  0.04  0.03  0.02  0.08  0.30 -0.01  0.02  0.02 -0.17 -0.04  0.03 -0.02  0.12  0.14 0.164 0.84 2.8
start         0.13  0.07  0.26  0.10 -0.02  0.02  0.07  0.07  0.17  0.19 -0.02  0.09  0.02  0.10  0.14 0.208 0.79 6.0
laugh        -0.04 -0.06  0.02  0.02 -0.03  0.26  0.09  0.02 -0.01  0.06  0.03 -0.07 -0.01 -0.06  0.03 0.095 0.90 2.0
write         0.10 -0.07  0.01 -0.12 -0.01 -0.08 -0.02  0.03  0.04  0.03  0.06  0.10 -0.02  0.44 -0.01 0.243 0.76 1.6
email        -0.08 -0.04  0.01 -0.07  0.03 -0.07 -0.02  0.16  0.07  0.11  0.15 -0.14 -0.12  0.26 -0.12 0.198 0.80 6.0
lab          -0.06  0.07  0.03  0.13  0.17 -0.03 -0.11  0.34  0.00  0.11 -0.07  0.01  0.02  0.00 -0.12 0.219 0.78 3.0
sad          -0.01 -0.01 -0.05 -0.02 -0.01  0.27  0.02  0.01 -0.04 -0.04 -0.04  0.20  0.03  0.00  0.04 0.122 0.88 2.2
day           0.09  0.08  0.11  0.27  0.01  0.05  0.06  0.32  0.18  0.12  0.02 -0.05 -0.08  0.08  0.01 0.272 0.73 4.2
together      0.04  0.02  0.33 -0.08 -0.03  0.10 -0.05  0.08 -0.08 -0.02  0.01  0.03 -0.04 -0.06  0.05 0.150 0.85 1.9
group        -0.01 -0.04  0.27 -0.02  0.05  0.02  0.04 -0.01 -0.09 -0.01 -0.03  0.05  0.05  0.10  0.01 0.104 0.90 2.0
focus         0.06  0.05 -0.07  0.00  0.02 -0.03 -0.07  0.08  0.17 -0.07  0.14  0.15  0.15  0.19  0.02 0.158 0.84 6.8
meet         -0.05  0.01  0.43  0.00  0.07  0.02 -0.07  0.10  0.04  0.15 -0.06 -0.05 -0.07  0.02 -0.09 0.249 0.75 1.8
lunch        -0.01  0.53  0.09 -0.06  0.01 -0.01  0.07  0.08  0.04  0.04  0.00  0.00  0.03 -0.08  0.03 0.312 0.69 1.3
live         -0.03  0.06  0.02  0.00 -0.04  0.28 -0.01 -0.04 -0.03 -0.04 -0.05  0.01 -0.03  0.14  0.27 0.188 0.81 2.9
show         -0.02  0.04  0.07  0.14  0.00  0.11  0.38 -0.03  0.05  0.00  0.06 -0.11 -0.13  0.10 -0.08 0.230 0.77 2.5
sleep        -0.02  0.01 -0.04  0.53  0.07 -0.05 -0.05  0.02  0.09 -0.06  0.02  0.16  0.08 -0.10 -0.03 0.347 0.65 1.5
anxious       0.24 -0.04  0.03  0.04 -0.04  0.02 -0.01 -0.02  0.05  0.13 -0.05 -0.08 -0.16  0.11 -0.06 0.133 0.87 3.9
people       -0.07  0.09 -0.03  0.03  0.18  0.31  0.01  0.04 -0.06  0.09 -0.06  0.22  0.05  0.25 -0.07 0.280 0.72 4.6
decide       -0.03  0.10  0.09  0.06 -0.06 -0.03  0.14  0.08  0.08  0.14  0.04  0.12  0.00 -0.07  0.17 0.132 0.87 7.7
issue         0.03 -0.03  0.05  0.03  0.30  0.01  0.04  0.08  0.12 -0.05 -0.01 -0.01  0.00 -0.02  0.03 0.123 0.88 1.7
mind          0.00  0.01  0.00  0.01  0.00  0.01 -0.01 -0.01  0.49 -0.02  0.05  0.05  0.01 -0.01 -0.01 0.245 0.76 1.1
plan         -0.01 -0.02  0.38  0.03 -0.10  0.06 -0.08  0.17  0.11  0.04  0.05  0.02 -0.09 -0.08  0.13 0.242 0.76 2.6
schedule      0.03  0.03  0.16  0.22  0.08 -0.07 -0.06  0.05  0.07  0.03  0.07  0.03 -0.10  0.01 -0.11 0.127 0.87 4.9
week          0.14 -0.05  0.11  0.09  0.04  0.03  0.00  0.33 -0.04  0.07  0.01  0.04  0.04  0.05 -0.02 0.169 0.83 2.2
close         0.02  0.01  0.04  0.02  0.03  0.25  0.04  0.02 -0.06  0.11  0.12  0.11 -0.10  0.01  0.03 0.121 0.88 3.3
expect        0.01  0.09 -0.09 -0.03  0.03  0.18 -0.02  0.07 -0.06  0.14 -0.06  0.25  0.03  0.13 -0.17 0.194 0.81 5.6
annoy        -0.04 -0.06 -0.07  0.03  0.39 -0.02 -0.01  0.06 -0.10  0.07 -0.01  0.01  0.03  0.02  0.12 0.197 0.80 1.6
relieve       0.12  0.00  0.03 -0.01  0.01  0.01  0.15  0.10  0.07  0.11 -0.06  0.08  0.01 -0.06 -0.08 0.086 0.91 6.6
early         0.04  0.07 -0.04  0.32  0.01 -0.01  0.03  0.09  0.01  0.26 -0.01 -0.01  0.04  0.00 -0.06 0.195 0.81 2.5
person        0.02 -0.05  0.02 -0.02  0.13  0.17  0.01 -0.02  0.03  0.09 -0.04 -0.06 -0.06  0.16 -0.02 0.094 0.91 4.7
relax         0.10  0.09 -0.09  0.17 -0.30  0.03  0.31  0.24  0.15 -0.08 -0.10 -0.08  0.00 -0.01  0.05 0.343 0.66 5.4
end           0.09  0.05  0.11  0.05  0.09  0.02  0.07  0.01  0.01  0.13  0.09  0.00  0.01  0.07  0.03 0.070 0.93 7.0
great         0.09  0.01  0.14 -0.02  0.03  0.17  0.11  0.13  0.01 -0.07  0.03  0.02 -0.08 -0.01  0.02 0.101 0.90 5.5
professor     0.40 -0.03  0.14  0.08  0.06 -0.01  0.02 -0.18 -0.08  0.07  0.16 -0.09  0.36  0.13 -0.15 0.443 0.56 4.2
understand    0.22 -0.01 -0.07 -0.05  0.28  0.09 -0.03 -0.04  0.00 -0.08  0.09  0.11  0.10 -0.01  0.07 0.185 0.82 3.8
alone         0.02  0.07 -0.07  0.12 -0.13 -0.01 -0.04 -0.10  0.51  0.05 -0.11  0.12  0.00  0.01  0.08 0.351 0.65 1.8
frustrate     0.05 -0.05 -0.08  0.00  0.41  0.01 -0.04 -0.03 -0.01  0.05  0.00  0.15 -0.09 -0.01  0.07 0.220 0.78 1.7
office       -0.03 -0.03  0.03  0.02  0.29  0.02 -0.01  0.21  0.03  0.07 -0.03 -0.18 -0.05  0.04 -0.15 0.199 0.80 3.6
homework      0.12 -0.01 -0.11  0.04 -0.02  0.04  0.09  0.14 -0.10 -0.05 -0.03  0.42  0.06  0.00 -0.01 0.250 0.75 2.0
