"Filename","WC","RC2","RC7","RC6","RC8","RC14","RC3","RC5","RC1","RC4","RC15","RC11","RC9","RC13","RC12","RC10"
"1_1_10.txt",113,0.80645,0.80645,1.6129,-6.45161,3.2258,-2.41936,7.25806,2.41935,-1.00000000002876e-05,4.03225,3.2258,4.03226,1.6129,2.41935,4.83871
"1_1_3.txt",33,2.85714,0,2.85714,0,-2.85714,2.85714,2.85714,2.85714,0,0,0,2.85714,2.85714,2.85714,2.85714
"1_1_4.txt",35,0,2.5641,5.1282,2.5641,2.5641,5.1282,0,7.6923,0,5.1282,0,0,-2.5641,-2.5641,5.1282
"1_1_5.txt",38,2.43902,0,4.87804,0,4.87804,2.43902,0,4.87804,4.87804,2.43902,0,4.87804,2.43902,4.87804,0
"1_1_6.txt",38,4.65116,0,2.32558,4.65116,-2.32558,2.32558,0,4.65116,2.32558,2.32558,0,2.32558,-2.32558,2.32558,0
"1_1_7.txt",59,0,0,1.51515,1.51515,3.0303,4.54545,0,0,0,3.0303,3.0303,3.0303,3.0303,-1.51515,4.54545
"1_1_8.txt",93,0,0.96154,0,2.88462,-0.96154,0,0,0,0.96154,0,0,2.88462,-0.96154,0,0
"1_1_9.txt",109,0,0,5.93222,1.69492,1.69492,2.54238,-1.69492,5.08476,1.69492,5.93222,4.2373,-0.84746,0,5.08476,-3.38984
"1_10_83.txt",41,0,4.44444,4.44444,2.22222,6.66666,0,2.22222,2.22222,4.44444,2.22222,0,2.22222,0,2.22222,-2.22222
"1_10_84.txt",205,1.34529,0.89686,3.13901,1.34529,-1.11022302462516e-16,0.89686,0.44843,2.69058,0.89686,0.89686,0,3.13901,0,0.44843,1.79372
"1_10_85.txt",214,1.73913,0.43478,2.60868,1.73913,4.7826,-1.30435,-0.86957,5.21739,4.34781,3.04347,0,3.47826,-0.43478,2.60869,0.86956
"1_10_86.txt",213,0.42553,1.27659,1.27659,2.12766,-0.42553,1.27659,1.70212,0.42553,0.42553,1.27659,0,2.12766,-0.85106,0.42553,1.70212
"1_11_94.txt",204,0.45045,0.45045,2.7027,0.9009,3.15315,3.15315,0.45045,0.9009,2.7027,3.15315,0.45045,2.7027,-0.45045,3.15315,0.45045
"1_11_95.txt",207,1.79372,0.89686,3.58744,0.89686,3.13901,1.79372,0.44843,2.24215,2.24215,1.34529,1.34529,0.89686,1.34529,3.58744,-1.34529
"1_12_100.txt",218,3.40425,0.85106,3.40424,0,1.27659,0.85106,0,3.82978,2.12765,1.27659,0.42553,0.85106,-0.42554,1.27659,0.85106
"1_12_98.txt",204,2.27275,0.45455,4.09093,2.72728,2.27275,-1.36364,0.9091,4.54547,4.09093,3.18184,0.45455,0,0,0.9091,2.72727
"1_12_99.txt",207,3.19634,0.45662,6.39269,1.82649,3.65296,2.73972,0.91324,4.56621,5.02283,7.76255,0,0.91324,0.91324,0.45662,0
"1_13_109.txt",37,5,0,2.5,-2.5,5,2.5,0,2.5,2.5,0,2.5,2.5,2.5,-2.5,0
"1_13_110.txt",201,1.38889,1.38889,0.92592,6.94443,2.31482,-1.38889,0.46296,5.09258,1.85185,3.24074,0.92592,3.24075,0.46296,3.7037,0.92592
"1_13_111.txt",209,0.42918,0.85836,2.1459,0.85836,0,1.28755,0.42918,2.1459,0.85836,3.00427,0,0.42918,0,-0.42918,1.71672
"1_13_112.txt",216,2.48964,0,2.48964,0.82988,0,0.82988,0.82988,2.0747,0,2.0747,2.90457,0,-0.82988,1.65976,0.41494
"1_14_118.txt",204,0,0.9091,0.45455,1.36365,0,0,0.45455,0.45455,0.45455,1.8182,0,0.45455,0,0,1.81819
"1_14_119.txt",208,0.44444,3.11111,1.33332,0.44444,1.77778,-0.44445,0.88888,2.66665,0.88889,7.11109,1.33332,2.66665,-1.77777,2.22222,3.11111
"1_14_120.txt",208,0.4386,2.19299,3.94737,0.8772,2.19299,5.26316,0.4386,0.8772,0.4386,1.75441,0.4386,2.63158,0.87719,0.4386,1.31579
"1_2_14.txt",32,0,0,0,0,2.85714,0,0,0,0,2.85714,2.85714,5.71428,0,0,2.85714
"1_2_15.txt",32,0,0,2.94118,0,0,2.94118,0,0,0,2.94118,0,2.94118,2.94118,-2.94118,2.94118
"1_2_16.txt",33,2.63158,0,0,5.26316,0,5.26316,5.26316,0,2.63158,0,0,0,-2.63158,2.63158,2.63158
"1_2_17.txt",39,2.27273,0,-4.54545,6.81818,2.27273,6.81818,6.81818,0,0,-2.27272,0,0,0,2.27273,4.54546
"1_2_18.txt",173,2.09424,0,1.57068,0,2.6178,1.04712,1.04712,2.6178,3.14136,1.57068,0.52356,2.09424,1.04712,1.57068,-2.6178
"1_2_19.txt",201,1.36986,1.36986,2.73972,1.82648,0.45662,0,2.2831,1.36986,1.36986,3.65296,0.45662,0.91324,-0.45662,0.45662,0.45662
"1_2_20.txt",204,0,0,1.34529,0.89686,1.34529,2.24215,0,0.44843,0.44843,0,0,0.89686,0.89686,0.44843,0
"1_3_27.txt",135,0.67568,0.67568,2.70272,1.35136,-1.35136,1.35136,0.67568,2.70272,0,0.67568,0.67568,0,0.67568,2.02704,2.02704
"1_3_28.txt",150,0.57471,0,1.14942,1.72414,-0.57471,0.57471,0,1.14942,-0.57471,2.87356,0,1.14942,0,0,0.57471
"1_3_29.txt",155,0,0,0.59172,0.59172,1.18344,0,0,0.59172,1.18344,1.18344,0,1.18344,0,1.18344,0
"1_4_33.txt",32,0,0,0,0,2.94118,0,0,0,0,0,0,2.94118,0,0,0
"1_4_34.txt",171,1.63044,0,2.17392,0.54348,2.17392,1.63044,0.54348,1.63044,1.08696,0.54348,0,1.63044,1.08696,0,0
