"","RC6","RC2","RC7","RC3","RC9","RC8","RC10","RC12","RC5","RC1","RC14","RC4","RC13","RC15","RC11"
"relieve",0.0476129909980433,-0.0237735867158889,-0.0118961056483624,0.0419329843264024,0.00833894748525971,-0.00544766106873071,0.0360338104027152,0.0385507454950128,0.0501247617955468,0.00714489479309958,-0.010764861106162,0.00141958505837139,-0.0280729196484712,-0.0883215298352585,0.0249464742263579
"frustrate",0.0172450155413312,-0.0347509084123267,-0.0178228356196834,-0.0107573279052662,-0.0469066491846115,0.00344606284276016,-0.00193073696164231,0.0268324122053541,0.00559996914591986,-0.000541882295686967,0.0118589087725793,0.230665615332413,-0.0153275357793691,0.0339606007839719,-0.0355896016936135
"long",-0.0135571879294284,0.00172756286543899,0.0247618042064572,0.0176220718326354,0.0273728957680881,0.0484856933778567,-0.0307411467677711,-0.0345405374821154,0.0409921709955401,0.065702966496646,0.0442802273566986,0.0123332951960394,-0.00148308024332371,-0.0198560704803097,-0.0191387387062823
"happy",0.0174325748325106,-0.0390844010709043,0.0451743009319769,0.129256633007673,0.0779738535080983,-0.0444695829448736,0.0144121121872918,-0.00920763411164809,0.0474477994691206,0.021811668301836,-0.0075577962203443,-0.0788134312897869,0.00940233073341081,-0.0512606357173152,0.0909830402899784
"issue",0.0054731728324268,0.00333817078818972,-0.018933871385217,-0.00214679799422655,0.0131022580718409,-0.0126551227455153,0.0486277851105732,-0.0334815564396057,0.0263655821031693,0.0626460921334608,-0.0308250370131122,0.106515602789319,-0.00592301254243844,0.00594379853061916,-0.00072941102075712
"place",-0.00320179291482212,-0.0258353955524113,0.034268243860065,0.00755268290959037,0.0361017859666847,-0.00439591288970275,-0.00555016435966273,-0.0678873700242035,0.010308826870865,0.0240690134894495,-0.00611985304629379,0.0736752395349276,0.0272324252176745,0.13219285255298,-0.055479815956458
"work",0.0201343151799405,-0.100134688054611,-0.00775972539360526,-0.0405065254269353,0.0457828513642431,-0.0314772805365478,0.0378428876211648,-0.0388956653843924,-0.00590439059415677,0.108435513682481,0.186706991706065,0.0382719126662473,0.0467278263643878,-0.0490619484031673,0.0662475663901987
"email",-0.0532885897737094,-0.00683769430942361,-0.0254730469613428,-0.00546214254573403,0.00815773185470577,-0.0617793508830873,0.0260768924426492,0.0423059819974403,0.00238132115005957,0.0935704136057918,0.110799640556883,-0.086776744292967,0.06540243770857,-0.0675029240767961,-0.10591516355146
"lunch",-0.0127345850448076,0.0102035746096662,0.217324976429067,-0.00666984808031428,0.0304950517360708,-0.0725492042522697,0.0276723484781738,0.0090997344942475,0.0223429808183653,0.0104680606392155,-0.0600520696433853,0.00921394614338713,0.00799265399653556,-0.0439906540111365,0.0225572267087065
"class",0.0484924720539952,0.178256310248255,-0.0108932970382817,-0.0283411554551164,0.0421399869686739,0.0581325744875022,-0.062622332297169,0.0921189634191282,0.00209015107030227,-0.0911524155430079,0.00456902477844561,-0.0595523399323897,0.0090227060508313,-0.0442469377637911,0.0215958954688399
