"","RC6","RC2","RC7","RC3","RC9","RC8","RC10","RC12","RC5","RC1","RC14","RC4","RC13","RC15","RC11"
"relieve",0.133134279057755,-0.0254646833903372,0.00305804188426743,0.0893957917546118,0.0592304405552871,0.0281884723804938,0.0981715814813237,0.0978317562999193,0.108292300884397,0.0493872816876253,0.0214733314205867,0.0193255856536513,-0.0494060049242738,-0.119874694303104,0.0422652104536668
"frustrate",0.0587408178559247,-0.0232362468699179,-0.0475869569599178,0.0147459202814979,-0.0366735692324324,0.016746070876617,0.0509016052434344,0.0679272175834671,-0.0128921384690574,0.0593578045791262,0.070351086673154,0.434283291895715,-0.0197234729698134,0.0491052129329596,-0.0821772385422925
"long",0.0154842450365497,0.00948144123650424,0.088126812890115,0.0772028049815544,0.0989548247051612,0.127169055451735,-0.00451478932580549,0.000685462904701557,0.0962618259194301,0.159569978071023,0.109268850521503,0.045832994019527,-0.00065549266175852,0.000196488651068459,-0.025697990834574
"happy",0.047054522554976,-0.0830059466646179,0.15327596749794,0.306961645100566,0.221334992746937,-0.0365239093116195,0.0522398388362644,0.0496912310509605,0.147940060935333,0.0824272064753036,0.0227652827342636,-0.129016175964953,-0.00783311283005778,0.0010421032460373,0.165758861205446
"issue",0.0333570819206953,0.0277858100331625,-0.0433578192153415,0.0355735992763732,0.0646939087784726,-0.00780003530191386,0.130435499786962,-0.0295283710760262,0.0440473778782692,0.145293171577657,0.00216284958634931,0.222805084113682,-0.00472014449957882,0.0130130297201189,-0.0158175206037499
"place",-0.00743458593625084,-0.0465050947296763,0.0901438872660148,0.0897909650743964,0.119579431664793,0.0067548708621614,0.0232617850745962,-0.0689219874934591,0.0343277190031252,0.0776859463685706,0.0242265725864996,0.143236886287505,0.0338934670349828,0.245418154466473,-0.0912726325001968
"work",0.105592292987765,-0.164611558084907,0.0267968294005333,-0.0341622182756937,0.152095683365578,0.00697737253410701,0.185428879731561,-0.0159393827314968,-0.000982525816296213,0.259970741113279,0.390732477423244,0.133099838163298,0.0614081882812571,-0.0689210187017149,0.100849388609016
"email",-0.0859635293155089,0.00364255954451502,-0.0514640872503958,0.00366162617242292,0.0258682877617722,-0.114673248920842,0.0725659909767794,0.0929094977326351,-0.00355879479121206,0.195627784400772,0.194524583805696,-0.098668058364516,0.116236780269827,-0.10464554598883,-0.187136416519395
"lunch",-0.0174570529365851,-0.0167042944418964,0.490669584015623,0.0195474100678229,0.0904705868450115,-0.0747124777323954,0.0643272133740488,0.0698205709555528,0.0601964999180378,0.0476840286581065,-0.0729506466856585,-0.00481292035368555,-0.00466459253274165,-0.0342137533382109,0.0452681030680632
"class",0.276151377229986,0.479243695563643,-0.0128293775460582,-0.0429196762711271,0.100242620378913,0.14462281890074,-0.117980606680364,0.217960326670791,0.0120384755449942,-0.140012157237657,0.039065979757543,-0.085951703598777,0.107909374263064,-0.0609499273000038,0.0429011669247155
"call",-0.0379983629463226,-0.0257002031866738,-0.0305590903481327,0.290546897360742,0.0293736345286435,-0.033101938458553,0.231728137945957,0.113581682349442,0.106301426691126,0.0426702872023903,-0.0602765661713829,0.0571561165817458,-0.004551957528833,-0.0629753782243861,-0.177059822876917
"study",0.48179311539219,-0.00711349726575455,0.113159687070574,0.0611485275759675,-0.014789148516544,0.0755651377008302,-0.000363205980297993,0.0013100492676918,-0.02025701277013,-0.00070040641775962,0.143732366066927,0.0943905935365456,-0.0340450077612117,-0.0355675339005204,0.0458868182968546
"enjoy",-0.0368921244763832,0.153633691564092,0.21383010140524,0.145980539866878,0.0244838632865593,-0.0183897780732803,0.00862526776760585,-0.00980831130071875,0.199011725172948,0.0883329899903642,0.0144057039036396,-0.101834567845033,-0.0165858174509228,0.0254943683785926,0.0187888591214167
"thought",0.00186205271075675,0.0294929431662599,-0.011419118443789,0.192914867067565,-0.0640785220337415,0.0814080436901049,0.119284661052293,0.115651713624958,-0.032449427355738,0.0435360359607143,0.188582596253243,0.0969156846974556,0.0341576126515733,0.179748065036389,-0.0452424463925976
"learn",0.132480208180303,0.241765880442368,0.0258573780516394,0.00827745307666248,0.00572277143871525,-0.0191407595103408,-0.0337661745852733,-0.1134630286926,0.0178260493327101,0.0388318832999705,-0.00123232410465599,0.192039253694497,0.0358363273168055,0.0611396084027136,0.0358399448473922
"question",0.250981819552479,0.281948397185172,-0.0587660032605253,0.0752269428883666,-0.0743022546024983,-0.150752327119047,0.0763347378263845,0.114272515059461,0.0873584805235036,0.147178021401315,-0.0431752673674777,0.205904646180806,-0.0822237570208932,-0.134771114613288,-0.113547227518924
"move",-0.0112229382711257,0.10627581164937,-0.0771698190741656,-0.0361753065692049,0.036047332504829,-0.0257371415239315,0.00836490077716742,0.0990519579429458,0.0620972546366989,0.190692061622776,0.039971406969656,0.133127970032662,-0.0366537060163378,0.355499613306026,-0.0646346500417716
"answer",0.084129085263433,0.204440424307344,-0.0515037258233361,0.112542990272325,-0.100835843805601,-0.158520178047396,0.121148121551403,0.253212231580379,0.113816556757431,0.173353709445863,-0.0960377727290548,0.108269948787456,-0.0178869682604663,-0.164770666110898,-0.181633990310566
"discuss",-0.036301471167798,0.20666708798315,-0.000351206226780053,0.114533088100071,0.328504651355943,-0.0100841635646866,0.0607098469243502,-0.16956005561119,-0.0500635811991706,0.0244494980560619,-0.104546235313725,0.109921482374395,-0.0859765194374693,0.0947189078132761,-0.0908937023461281
"prepare",0.288685930065359,0.095557938526715,0.157258175044031,-0.0893047242119898,0.00905227798728636,-0.0617779171307336,0.146353311372008,0.100660480956994,-0.0240822789539627,0.0435316177694631,-0.0405079404097072,-0.0204077352512276,-0.0502634427011766,0.13374786314971,-0.0837793546659965
"plan",0.0428292034535891,-0.117855167747082,-0.0163542985634813,0.0993907702575305,0.382129589878723,0.0633404021017,0.126748759055558,0.0327216730925357,-0.0725930199163522,0.0667169506298525,-0.0217413676694901,-0.0659099774038878,0.0922375824090431,0.115995250393534,-0.00672803444054548
"complete",0.00178301541527003,-0.0105277130165133,0.0117165710804304,-0.0431206716020041,0.0997403893642345,0.0872617258565204,0.446657077738976,0.032317800998659,0.0894398106511989,0.110280530944835,0.0706364409579728,0.165803411213912,0.0146559734801992,0.00614835018765557,-0.0188151577011974
"task",-0.0688692152711229,-0.00842398061638592,-0.0518834834090469,-0.0839848492763194,0.0144801423967024,-0.0772242870648633,0.323589828982932,0.0269845850543738,0.036232827656501,0.167137732060542,0.119362143033171,0.0488156117145223,0.0125479376272157,0.0518421175142729,-0.0441485579735755
"train",-0.0749711359286847,-0.0746048831059132,-0.0429120976372313,0.00813749929498241,-0.0380204439475777,-0.00267412314005205,-0.0329493929601176,0.104398783754205,-0.0627781483454063,0.371585539977635,-0.00083777319149527,0.0869721356965574,0.0361314313166976,0.0690128938013515,0.0117110325558231
"day",0.146876422640134,0.00255291660351381,0.0937517675925718,0.0530630951148053,0.168922308170155,0.218575010310476,0.155380368416132,0.130058320325481,0.0793292878345748,0.308680300926193,0.0984656422284682,-0.0713739605814215,0.0253999115915496,0.0754813281583932,-0.0424623521563639
"start",0.133611655201551,0.0865946194504372,0.061721142288593,0.0200979722704388,0.175252071923851,0.118223910192822,0.170013836402777,0.168775973459006,0.0874564710251697,0.10134567227452,0.132294034626212,-0.0078265865115381,-0.0133898697836469,0.165686221478229,-0.00921562844571115
"conversation",-0.0376451811556956,0.0395671788526995,0.0244649320255877,0.372190908423141,0.127269499036285,-0.0657146611827999,0.0595909196645404,-0.0300057479840606,-0.0145319845981388,0.0961098951217782,-0.0482928760393737,0.00259665301985335,-0.00678983576691985,-0.0349741100359219,-0.0216488645567344
"friend",0.087185003033174,-0.0873896418777259,0.091521262394328,0.351311955540546,0.352232901100987,0.0762543363306951,-0.0205906725293781,0.0906766600780476,0.0138869027447358,-0.221719423304568,-0.0263342857135016,0.0642297692897524,0.0515080684405963,0.134314703367445,0.0556396416921276
"weekend",0.178883637963428,-0.118207529190751,-0.0305261979591631,0.0852754092746195,0.216056774669647,0.102771692638255,-0.0638557042944191,-0.00969528949267145,0.0127910553478592,0.165915632641348,0.0248476165336561,-0.0866401510371985,0.0540010074739187,0.0798666969289265,0.13762010742114
"stay",0.00504126796627066,0.0871121848218479,0.065621102655614,-0.0106363656097763,0.0880466640325513,0.110708592331021,0.0402179703660302,0.0162711849942329,0.0223950742134697,0.00114575506673844,0.0584206675382331,0.0670534413385206,0.180542021163586,0.168100636737069,-0.0387949172590795
"excite",-0.0324468592205006,0.0487315020689365,0.075984542634578,0.0892567242114263,0.344342253708789,0.0277427706270024,-0.0768136831163347,0.0529927133953119,0.0770692494212638,0.0541292198822551,0.0059147032912327,-0.114665375463932,-0.0423555169528959,0.056886906387469,0.0957158506068681
"schedule",0.0188981046630478,0.0238701426672418,0.0621183844118745,-0.0260263746035662,0.209538478140891,0.180590787133263,0.10815727454998,0.0162374051657031,-0.0577539200957071,0.0620522399102679,0.0227667244626284,0.0709084126650847,0.0715070058690652,-0.134660291433646,-0.137616745197654
"watch",-0.0221736398369527,-0.0237537335312568,0.0771621840314381,0.0744409814842805,-0.13363806102961,0.130811025192165,0.00937621563647417,-0.160708483448203,0.639837242549988,-0.0731114899167504,0.0103230964666207,-0.106285589110419,-0.0252238661636778,0.0583417343098871,-0.104150035767614
"late",0.0113495077630313,0.0466845610849504,0.102127602037176,-0.0511902638924748,0.0631749474136494,0.291001147020183,-0.00943294513964383,0.166962972043889,0.00989475553093887,0.0967109138125559,-0.0148061008047446,0.128819915380612,-0.0649740532435451,-0.0669463254021628,-0.135124454565247
"job",-0.0375163090257619,0.032937755263603,-0.0246816019100054,0.0908295443231447,0.144971601288526,-0.0133333738058387,0.117931037927386,-0.0807155110399143,0.0377704694617854,0.146420327564907,0.0224860888720919,0.149541294053424,0.0121203353773954,-0.0277553435545656,-0.145321199036372
"nervous",0.272999095700295,0.12094649704126,-0.0627319005038676,0.0236104350165283,0.128610913825942,-0.00440799682776856,0.0636776299567369,0.127050315309872,0.00834310264972127,-0.0477451913194695,0.0361105455094838,-0.089815957404172,-0.0758484492197632,-0.0971597333728841,-0.229960859679862
"begin",0.0999173481362853,0.196156654377427,0.0142659996633766,-0.0435558483086677,0.0761511133613841,-0.00202888498944549,0.0181186141545084,0.0815999541625495,0.0533363090838845,0.0601812132537057,0.0357494222898055,0.0711773885734064,0.00854756569617005,0.202194706565138,-0.0458765708848489
"show",-0.028027615509125,0.0620214839528485,0.04552181625073,0.073132086302367,0.0519355630788093,0.0989770165396979,0.000864763075183732,-0.0445842261577959,0.407034591077455,0.0479723495218688,0.0336843389646657,-0.0549628753330254,0.0540625186694954,0.0186997940852416,-0.205166018006255
"hallway",0.0257640426624214,-0.00776902863706199,0.186078667070605,0.0424967447208525,0.173103518747569,-0.00791524758715949,-0.099359961084931,0.266538981602873,-0.00816788339016597,-0.100346013735454,0.0510971812560683,0.0115182118871987,-0.00607533116489453,-0.0909168545551108,0.0225516068810589
"stress",0.383481127627319,-0.0905321396919503,0.00230889257974045,0.0840885855740645,0.0368239685599662,0.048852295274101,0.0610326311151392,-0.0345539526813444,-0.0482189063547999,0.0956301642020936,0.114519100807058,-0.0580496595984983,0.0835778595239808,0.00889684882157415,-0.0931140320279161
"left",-0.0260172246085046,-0.0399311066518198,0.0441291622563127,0.0197579759018617,0.0754630862302213,0.0547423521733777,0.0448267801842594,0.385287959414511,-0.072411871956357,0.00340405279483745,0.057672491025997,0.0135958578956847,0.0118541961116879,0.0112446479974321,0.0322391222579969
"student",-0.0696170225490272,0.229532507651812,0.0267803356450122,0.010635107411227,0.199261974991231,0.00947955398417952,0.0726071727315889,0.0425635309651696,-0.0107151690117032,0.0484147209516601,0.0904319661878857,0.167714620747884,-0.00234826268936498,-0.0811745150982244,-0.17833790345994
"meet",-0.0368111906756678,0.0234443691035202,0.0218264524064089,0.0798866530118452,0.380938020764413,-0.0348607214806748,0.0453688184428881,0.0688202631538091,-0.0590466856605021,0.165003646596439,-0.0142529325664617,0.0116605765531233,-0.0610819858209916,-0.0418066084365732,-0.125130436187922
"great",0.169288439771463,-0.0607251447146854,0.019371889301091,0.112420056405774,0.128536194015859,-0.0233207605813152,0.000149528147147994,-0.0644622298486709,0.115410532149205,0.0831185389394754,0.0177582779629442,0.0366585421072467,0.0394814236345311,0.117928649780345,-0.0110919943437543
"read",-0.0491739832820413,0.180170583210424,-0.00809934550770639,0.0827161568869482,-0.141690518233172,-0.0332337056438771,0.00705049740895244,0.0506258072157442,-0.0242213138898942,-0.0431298026987942,0.349955531639776,-0.0668037440924573,-0.0595652536634331,0.211055760061966,-0.123532313134106
"due",0.147231239184988,-0.0627393417550944,0.0169446091693937,-0.0129388131840943,0.0826548338383416,0.109096932566574,0.0799397272654748,-0.00769607430006921,0.0569273992903924,-0.00787664216608832,0.355056449970322,0.112914048149392,-0.0163131015148287,-0.0588542067804144,0.0103335455672796
"anxious",0.216794161086819,0.0510071007682205,-0.0512202041074035,0.0487044853418575,0.0317417388235644,0.0254805702174593,0.0411867073035284,0.134898707091315,-0.0102358227580568,-0.0291244982822371,0.0503491045481245,-0.0802199214348185,-0.0554761022329854,-0.0487852380331393,-0.244545636402624
"office",-0.0193254383906864,0.0396782726031814,-0.0330817879948757,0.106049092621053,0.0631521906804066,-0.0339356646459613,0.00273821149032262,0.0211430378289286,0.0347900330032198,0.3319022047936,-0.00952390847975697,0.102597670136153,-0.0392318500536271,-0.138675145084649,-0.133935893212545
"laptop",-0.0602175804551838,-0.0354704460157369,0.0434937978736207,0.0617069099052165,-0.00300415340700249,0.0531455469042136,-0.00508308099881321,0.109797259930622,0.0505293624537823,-0.124197910761126,0.159274615999611,0.094977737635419,0.0296501468624959,-0.00811727985940308,0.0655913242873823
"breakfast",0.00559325472483052,-0.0186956523726852,0.438797484259127,-0.0996671164192732,-0.0203789421204709,0.074032483373532,0.04421237249183,0.105162969857982,0.00635529990555117,0.0525023751589987,-0.0273403637720956,-0.0693791198589158,-0.030440151930079,0.12571726194997,-0.035684247424263
"hope",0.127893283567903,0.0568900878492135,0.0189509609589968,0.0340248834840991,0.0748903930731268,0.0617626131628397,0.0382568253333565,0.0303165462790379,-0.0527577707879837,0.0636043562903207,-0.0900652432367868,0.165201148496445,-0.0830911485192537,0.00483618757803414,0.00438991117086783
"leave",-0.0675269460293447,0.0277174104171353,0.0137890288241656,-0.0384507224749675,0.0828573065427881,0.0885744758346167,0.00256994132153975,0.23631618080027,-0.0286181462984719,0.107132204211304,-0.0129874232531088,0.0614745877426722,0.0241439643704289,0.141744017258202,0.037348146512383
"today",0.0649143620970865,0.0615138496619164,0.127908603540904,0.00317407437541656,0.0523216364470127,0.110793156079478,0.0924079345555537,0.0835277444132799,0.0184412151432859,0.265802793420949,0.126802635212066,0.13109748051045,0.0363181508534685,0.00723450265567464,0.0852550349424681
"final",0.266449499605114,-0.00174477617892022,-0.0360836757736225,-0.151768681680186,0.304504774724194,-0.00583838301157347,-0.016006254688588,0.059996158447539,0.077194085931379,-0.0279349557414293,0.0949367633132148,-0.0586217165151275,-0.0304310273007917,-0.00812303598219507,0.019097035644161
"lab",0.0348234411964653,-0.054121462325636,0.0826031305002948,0.0591691838488731,0.0502141142236902,0.101991075821305,-0.00935513393973152,0.0268529949482513,-0.0786575320481267,0.404244791109154,0.115176279404927,0.0501716855403847,-0.0510732700123292,-0.120700901202678,0.0535616497230553
"computer",0.0175413899527781,0.00991961418126123,-0.0533289486013275,-0.0325594489003151,0.0467570192381674,-0.0434920127549148,0.0452409001150968,0.0191561491307592,0.00816471000893907,0.0921817764880245,0.268254787634969,-0.076903330440426,0.139904811914314,-0.00116935313450138,0.0190988256994726
"phone",-0.0511645573532203,-0.0202502081865262,-0.0501707049953891,0.290102384867322,-0.108546123214027,-0.0292611138219779,0.0976982443509343,0.194171694915644,0.162583605579087,0.00754677674734957,-0.0103210956653094,-0.0110260804628921,0.0758773556067816,-0.049757261329576,-0.0700822971920817
"close",0.0460812730506329,-0.0607726436263078,0.0264409123710644,0.200542240080269,0.0793520532694654,0.0380886764442453,-0.0312914356194068,0.157166025658678,0.0377172872417519,-0.081666880226812,0.0434153500523675,0.129081484010457,0.109242988326841,0.0836655867008839,-0.0260266867443467
"room",0.0947538994657968,-0.0198715126468395,-0.0346042662191547,-0.0551068609009306,0.0513787389536552,0.0414433818500273,0.000472150061961206,0.274131994809843,0.120667356277437,-0.0514446836878712,0.0397889645464712,-0.181141717551372,-0.0537184447172809,0.276296823816982,0.142496940254086
"paper",-0.0167372223284473,0.0580295991289894,-0.0619655882066862,-0.088807821237223,0.0333276933320402,-0.109836290937192,0.0729668528497714,0.0204420205508008,-0.0372673027771307,0.0130596461362227,0.412337534438914,-0.0749303616844066,-0.0488928159754832,0.0435324172077841,-0.0484204141942417
"break.",0.113558524158786,-0.0640634866560219,0.182987262114367,0.149088863281877,0.0796029045237212,0.0175416516074612,-0.0334962151548286,-0.0621865718899861,0.0607744133526198,0.0426600185184949,0.0755701491834208,-0.0725680377713077,0.102771025629818,-0.0185830850608393,0.0700141820911274
"eat",0.0205757131459657,-0.0214758318418867,0.687146965771142,0.000315348384342542,0.0251768461023807,-0.017347867913266,-0.0638361747642677,0.0667500746450115,0.0522043138189065,-0.0126545475593353,-0.00926072352294415,-0.0595504023657349,-0.0397348101414419,0.0427491778296216,0.0019995389682852
"test",0.413416211773831,0.0880651855877997,-0.0291396906203676,-0.0625763212971112,-0.0185329181563147,-0.0870120055457156,-0.0103938583336465,0.00353459892109571,0.0504755813424816,0.0949955875812968,-0.00321238270113221,0.122973029968059,-0.013678892771655,0.0350951329204894,0.0067376905016273
"morning",0.113289167846502,-0.0173362517821795,0.194363798897777,0.0391861818200464,-0.0258102737495655,0.29048530366889,-0.0469249079904633,0.0783433667259031,0.020686202123217,0.291672213529768,0.0914462790774262,0.0129242677741807,0.0158148058107519,-0.0105212908734415,0.0207466482345353
"told",0.00406709330651184,-0.0227020533135583,-0.0913915209356185,0.311803662401189,0.104598402190665,-0.0144778759761807,0.0352052504998992,0.187763489711703,-0.0643222701350901,0.158741260626437,-0.0347523880384004,0.0318018274005845,0.0448649387772734,0.0393447210856193,-0.00947010347240806
"people",-0.0575226991920334,0.0837536300404915,0.12534941948614,0.278419373607505,0.00460470047273926,0.0311534996617815,-0.0552163145972225,0.0358324737160435,0.0473589958730969,0.0538927586644337,0.323085268607887,0.236192517497942,-0.0864296360909153,0.0689460453891972,-0.0219805159141722
"decide",0.0223410206723283,-0.0974605714569489,0.115868809294228,0.00862412207524727,0.115514444706107,0.101580840227563,0.128691255169731,0.146145976268445,0.122849289622207,0.0310038545634814,0.018957417957486,-0.00244714032393246,0.0651132988038092,0.135494963812787,0.114637639119043
"year",-0.0216967657220454,0.0832263811239094,-0.0523466426945848,0.0986194435302813,0.226713984695906,-0.0197784890145099,-0.0890325884473776,0.00488354469056608,0.0478512034244416,-0.00646422719400025,0.181217208605734,0.0250719814825353,-0.112451465857078,0.267135874034376,-0.110062541985908
"project",-0.081687150153745,0.00913164182156888,-0.102415837276939,-0.182573065585492,0.283201486525206,-0.0828999810871273,0.293484163876668,-0.0396561875443144,0.0585446837269672,0.104021731859959,0.110251558825197,0.0559252349411327,-0.030244671909184,-0.0777539219415425,0.108749211909031
"continue",0.0204995643724774,0.0409479461456229,-0.00238068839162241,0.183954964638719,-0.100710771398678,0.0202063827838575,0.171891797848343,-0.040178030508534,0.137414181615888,0.0759432211781706,0.00205876038607675,-0.0456773620434864,0.0611066687390833,0.0426149293222662,-0.068753213690967
"week",0.216052116894252,0.0145823094025662,-0.0335030718892108,0.101448450422237,0.189704644763919,0.0869123432731927,-0.0064387478740988,0.0596754381129815,0.0101048718677304,0.237671118664237,0.0925848216952295,0.00444662775532631,0.0293876593968127,-0.0171579521872033,0.0780893888847401
