"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3960,1980.5,1143.29786145169,1980.5,1980.5,1467.774,1,3960,3959,0,-1.20090912909322,18.1681956543112
"WC",2,3960,131.718181818182,86.4890222523733,139,130.267361111111,121.5732,25,509,484,0.0480913390183869,-1.59635332537899,1.37440078496779
"RC2",3,3960,2.8501486540404,3.61298719622102,2.1978,2.47654095012626,2.792981184,-14.28572,25.00001,39.28573,1.07342101654493,3.55136920183164,0.0574141354503344
"RC1",4,3960,6.49950472727273,4.3359641676983,5.938335,6.15995407828283,3.903811821,-8.57142,32.14287,40.71429,0.936139447609313,1.93429779474963,0.0689029937034956
"RC3",5,3960,4.22117266414141,3.84405175976107,4.038135,4.12335698232323,3.241386141,-10.86955,23.68421,34.55376,0.301162058715767,1.59752046138136,0.0610859924009311
"RC4",6,3960,3.4339273459596,3.75395967212558,2.99145,3.22634774305556,3.209851239,-10.81081,22.22224,33.03305,0.612001166143139,1.58320966389018,0.0596543351484732
"RC5",7,3960,3.19519942676768,3.70179112861816,2.66665,2.83657010732323,2.894576349,-11.53846,28.20512,39.74358,1.29411753379147,3.76869239286411,0.0588253225723106
