"","RC1","RC2","RC3","RC4","RC5"
"relieve",0.0018755393057666,0.0120031831750646,0.0207661414156514,0.039429036499461,0.0403590175144366
"frustrate",-0.0351957920839494,-0.00821321220842279,0.0964954298599104,0.0638291788707255,-0.0788048306934776
"long",0.0273208876325395,-0.00510410630422194,0.0452939126498538,0.0266175488987939,0.0339983505084595
"happy",0.0433662258978586,-0.0372506139362225,0.060566034607082,-0.0362698019462435,0.147321882110416
"place",0.0161519986040043,-0.041919075660631,0.0747550767544512,0.000487309403841514,0.0208846245836597
"work",-0.000911014493550099,-0.0507161772887076,0.0751007461362314,0.164376145123055,-0.0674744288519914
"email",-0.00983545982963088,-0.0115167373007798,0.0719158191874747,0.0078236877556469,-0.0437242045820281
"lunch",0.168280480077227,-0.0504933716435759,-0.0229437709061744,-0.031666820847585,0.00877220122042252
"class",0.0270294572109426,0.239036642468243,-0.0581027311439154,-0.0479421869037574,0.0464184765756
"call",-0.0527920581939944,-0.0391259644458038,0.107631938337641,0.0208396786338938,0.0634783077802726
"question",-0.0378141837998081,0.114036297251818,0.0776798422184557,-0.000195109670508655,-0.0370120154975937
"move",-0.013523194030522,0.0142129792792674,0.0945019915023953,-0.0144114180259775,0.00777735153257789
"answer",-0.031261097098446,0.0628798537506508,0.0997334914568046,-0.0268366883207882,-0.0146845919905772
"discuss",-0.039036081045373,0.0130074563865868,0.0987369616716648,-0.0192344407313728,0.0205773178599189
"study",0.0584970804292552,0.090414095489172,-0.0306348544315838,0.0769595057765045,-0.0408349041707188
"enjoy",0.0414526877950614,0.0203747697284317,-0.00264925381243061,-0.0497284688978634,0.126685447384816
"thought",-0.00404942400823156,0.00432178062734743,0.0685916025989974,0.0374223137565677,0.0144375889480542
"learn",-0.022835898877094,0.093006162639763,0.00961343675558799,-0.00054542147960059,-0.00304167742996045
"prepare",0.0765179826613126,0.0671551123530703,-0.0211652927322795,0.0259431513519115,-0.0356480279350723
"plan",0.0184685185538623,-0.033810583454967,0.0898639297782813,0.0180187068244006,0.0245584565332467
"complete",-0.0481222310013802,-0.0423412008811651,0.0397676171238634,0.175959135994655,0.0148084030397838
"train",0.0360758566944737,-0.0501884949705314,0.106181420798054,-0.0197816677424218,-0.0766097277608314
"day",0.0729290926436169,0.00846145535221683,0.0539063967089917,0.0691159028871425,0.0259527970199024
"start",0.0307249400384153,0.0355282197182933,0.0450954132969918,0.0639112847821464,0.0540485502343918
"conversation",-0.0138337216858282,-0.0241820262500146,0.120049703070685,-0.0512979129162862,0.0578856689541053
"friend",0.0267658571292627,-0.00344219216190537,0.0746439585036039,-0.0382376452492731,0.115372881963658
"weekend",0.0365029808987,0.0128140662970154,0.0412490024885263,-0.00723650305305724,0.0493427478150233
"excite",0.0478923238724552,-0.00158681356513198,0.0531315145422817,-0.0643612855976702,0.0878458592088365
"watch",-0.0686155543580751,-0.0170955008517604,-0.0965939929402163,0.0264459260528821,0.283375316143426
"job",-0.0429506013623094,-0.0307686621936181,0.102204929061067,0.0415982006256029,-0.0183658050756528
"nervous",0.00751615516129441,0.0921292545041738,0.0172359440908429,0.00514463348843452,-0.0126086389325716
"meet",0.0166270853488767,-0.0285675819191045,0.13568066188308,-0.0152458493753076,-0.0219557695232409
"show",-0.0400697809139353,0.00651122678759725,0.00120037899508005,0.00366971447090825,0.169545486464214
"stress",0.0324552034463704,0.0536184637607167,0.00303264022135218,0.0628428742394831,-0.0315078225681677
"left",0.0711515690860208,-0.00776115762353948,0.0480944077459902,-0.00158598902017508,-0.0289722469001489
"student",-0.0181665770882499,0.0347148596165818,0.0895602875962817,0.0191783520787419,-0.0421046905776101
"office",0.000201114225957008,-0.0122570227253579,0.119859075918683,-0.0163918739682786,-0.0501332542018322
"breakfast",0.181378127705526,-0.033429352733395,-0.0653384097396588,-0.00903918594407201,-0.01235520693769
"read",-0.0198331458576907,0.0516384553895443,0.0154251398755727,0.00416800838761906,0.0240738267380683
"due",-0.0174703676143707,0.0152313847732007,0.00317241997330187,0.137555199671722,-0.00787505531030286
"leave",0.0544308506863876,0.000722451320325384,0.0567748289394387,-0.0181152080785191,-0.0162907596350805
"paper",-0.0346651510616414,0.0136642004403251,0.0283148600911813,0.0648484531224894,-0.0303159752362975
"room",0.0356544710162516,0.021339830798314,-0.0208223141121318,-0.0212133385747452,0.107235852714711
"break.",0.0594019399436314,0.011360060550466,-0.011506711154813,-0.00730406124441575,0.0587764934842355
"eat",0.251531901314885,-0.0452764854940146,-0.0798752397944648,-0.059146110037431,0.0077543000890505
"close",0.0230531972238926,0.00578185597010656,0.057614459528273,-0.0193469801477554,0.0297252374966774
"today",0.0598637467948625,0.0155525140769991,0.0492845138346512,0.0596661502595654,-0.033368960510965
"lab",0.0788953894740257,-0.0353832241634635,0.0883122405554561,0.0284589978984245,-0.0869549751572544
"phone",-0.0407585335566939,-0.0108754416718053,0.0713339932569022,-0.0303241772163536,0.10703306510815
"morning",0.127694393499615,0.00431082233922443,0.00537929493802154,0.0298680584995671,-0.0302691426248018
"told",0.00225954674114985,-0.014766045705653,0.152654222271072,-0.0543701433615647,0.020061401353172
"people",0.00821598506354323,-0.0027521739410487,0.105572143434489,0.00870675623507715,0.0204736873602187
"realize",0.0215758418102206,0.0216014281362082,0.052607872940693,0.0295581080847147,-0.0190564685269889
"decide",0.0479212045280781,-0.0278604874096239,0.00104933814939157,0.0388585728835477,0.0813672540585268
"project",-0.0808224052550779,-0.0515840907022915,0.0515069498766736,0.125993511245119,-0.00420779116317297
"continue",-0.053841474797887,0.00229541823042486,0.0204138648091684,0.04037452469216,0.0969953864680018
"week",0.0241451821665546,0.0471496687709817,0.0735919469324833,0.0194643371746457,0.0113521486776505
"annoy",-0.0156402980822024,-0.00678928782247472,0.114743619300559,-0.00303674848007688,-0.0583998377251259
"note",-0.00105833836993989,0.161462604712401,-0.0393178618498939,-0.0117610706453259,-0.00475646211585478
"wait",0.0914312574165471,-0.01782409296238,0.0571854813040412,-0.0468376728993291,-0.0279948899750152
"alone",-0.0154570586006517,-0.0472472234717311,-0.0616199208163855,0.180195678778889,0.0470019078702142
"hour",0.0561567903899481,0.0538856764461283,0.0338946652081616,0.00750664166532448,-0.0108067094067979
"early",0.091904322409609,0.026366104905047,0.00874596017973656,0.0218183721792395,-0.0119937614440235
"worry",0.0121009911204735,0.0310905591897323,0.021177386388127,0.0514912891406198,-0.0233245389696321
"minute",0.0388916264995525,0.0482186242517542,0.0396577013751291,-0.0036078888497339,0.0059438629501292
"talk",-0.00773081886256424,0.0216571453519297,0.132203763279556,-0.0979832086610232,0.106238591629082
"ready",0.0775191316092663,0.0261855701699046,-0.0128840774553134,0.00678874913425329,-0.0136036793905764
"quick",0.0574313851785102,0.0301002962374556,0.0390179650792613,-0.0144241584645269,-0.0364689548767407
"interest",-0.0543734781284359,0.0612805368457736,0.0467269882230426,-0.00673640893354248,0.0699979466061518
"focus",-0.0127935789561406,0.046074719217406,-0.0238031737503094,0.0976483189591921,-0.0145933557356052
"write",-0.0351243017805249,0.0660222507536629,0.0246896771501979,0.0403143859763802,-0.0359609615989792
"mind",-0.0611823914984177,-0.0321879832601784,-0.0048676687328456,0.160035780665085,0.0387374268275484
"end",0.0222273482125548,0.0495350086697144,0.0489530916212041,-0.00231048580711926,0.0122240162557742
"tire",0.0377410445875061,0.0297024477678095,-0.0777986143079974,0.0747958253223797,-0.00108202852359039
"nice",0.0631318560942335,0.00709973258415693,0.0608866821984529,-0.0664998773515796,0.0583061452745709
