"Filename","WC","RC6","RC3","RC2","RC7","RC4","RC9","RC10","RC5","RC1","RC8"
"19_9_1867.txt",96,3.88349,0.97087,1.94174,-0.97087,-1.00000000000655e-05,0.97087,10.67961,-0.97087,1.94176,3.88349
"19_9_1868.txt",208,3.61992,8.14482,-0.45249,3.16743,2.26245,2.26245,3.16743,4.07241,0.45249,-0.90498
"19_9_1869.txt",213,7.52214,3.53984,1.76991,5.30975,-1.76991,7.07966,0.44247,5.30976,-3.53983,2.65488
"19_9_1870.txt",249,10.11234,1.12359,1.49812,2.24718,1.87265,0.74906,1.49812,1.12359,0.37453,2.24719
"2_1_127.txt",33,8.33334,11.11112,-2.77778,5.55556,16.66668,8.33334,5.55556,2.77778,5.55556,-5.55556
"2_1_128.txt",35,5.4054,0,5.4054,0,8.10811,-2.7027,10.81081,-2.7027,0,0
"2_1_129.txt",49,3.57143,3.57142,1.78571,3.57142,5.35714,1.78571,1.78571,3.57142,1.78571,5.35714
"2_1_130.txt",59,7.6923,18.46152,0,9.23076,7.6923,9.23076,6.15384,6.15384,1.53846,3.07692
"2_1_131.txt",61,1.49254,0,0,1.49254,0,0,2.98507,2.98507,0,0
"2_1_132.txt",90,2.06186,1.03093,1.03093,0,2.06186,1.03093,5.15465,-1.03093,2.06186,1.03093
"2_1_133.txt",89,3.19149,3.19149,3.19149,0,4.25532,-1.06383,1.06383,-3.19149,0,3.19149
"2_10_206.txt",30,0,0,-3.125,3.125,3.125,3.125,0,0,-3.125,3.125
"2_10_207.txt",33,0,5.26316,2.63158,0,5.26316,0,0,-5.26316,-2.63158,0
"2_10_208.txt",195,1.84332,1.38249,0,0,8.29494,3.68664,4.14747,-2.76498,2.76498,-1.38249
"2_10_209.txt",203,1.77776,6.66662,1.33332,1.33332,0.44445,0.88888,1.77776,0.44444,1.33332,0.88889
"2_10_210.txt",237,2.64152,4.52832,2.26416,2.26416,5.28304,2.26416,2.64152,0.75472,0.37736,1.13208
"2_11_213.txt",35,0,2.63158,0,0,5.26316,0,2.63158,-5.26316,0,0
"2_11_214.txt",38,0,0,2.32558,-2.32558,11.6279,2.32558,0,-4.65116,4.65116,2.32558
"2_11_215.txt",44,2.12766,0,-2.12766,2.12766,2.12766,4.25532,0,0,-2.12766,2.12766
"2_11_216.txt",45,2.04082,0,0,2.04082,4.08164,4.08164,8.16328,0,0,4.08164
"2_11_217.txt",221,0.83334,8.33336,1.66667,1.66667,6.25002,-0.41667,2.91668,-0.83334,-1.66666,1.66667
"2_11_218.txt",225,5.64517,2.8226,0,3.62903,6.45164,3.22582,4.83871,1.20968,-1.20968,9.99999999995449e-06
"2_11_219.txt",233,2.72376,7.78214,1.55644,1.55644,6.22571,1.94554,2.72376,-1.55643,-1.55643,1.16731
"2_12_225.txt",206,3.61992,1.35747,0.90498,1.35747,8.59731,0.45249,8.14482,-0.45249,-0.45249,3.61992
"2_12_226.txt",228,4.36509,1.98414,0.79366,2.38096,5.55559,1.58731,5.9524,-1.00000000000655e-05,0.79365,1.98414
