"","RC2","RC6","RC12","RC4","RC11","RC3","RC5","RC9","RC1","RC15","RC8","RC13","RC10","RC7","RC14"
"study",-0.0289002764562981,0.00320302885060442,0.222759484652567,-0.0199371544651486,-0.0271510217969652,0.0442991877961259,-0.022210678805013,0.174256256456718,0.0376734531929129,-0.0236690638490328,-0.0177092789925014,-0.0472297034568721,-0.0443895987961208,0.0312592318572303,-0.0277755340455205
"enjoy",0.046228217960894,0.0801732690406149,-0.00984264666169972,-0.017286229307985,-0.0527371370212718,0.0851135565846389,0.127815224479596,0.0124537774491407,0.0441298328861435,0.0028034284677068,-0.0105288109871037,-0.0720488284448626,0.0615017529901059,-0.0891049641899732,0.0172429688684639
"thought",-0.0267778461056048,0.0224857376004918,-0.00398839751769116,0.0359404492576104,0.0380247094084462,0.0680496561549175,0.0139208063912911,-0.10152234001372,-0.0417903049929943,-0.0117818169271,0.0503376502952662,0.0591718717398233,0.202102950572225,0.112977887601895,-0.0609172922794721
"work",-0.0803263450880286,0.000185355431337695,-0.0270296890149859,0.0135573883086804,-0.0946270594979219,-0.0752348979852375,-0.0424934007069001,0.113775234025206,0.114490625477684,0.0348527837848974,-0.0106288171978285,0.155804250190455,0.130826255141956,0.0798692016429209,0.0632185414445804
"happy",0.0045236621674045,0.00193253865117011,-0.0610456179957028,0.0280133456036341,-0.0414277843279297,0.167946218279147,-0.0114056489893755,0.114339572689075,0.073041200873539,-0.0319754492583472,-0.0702952955096634,0.0437081095375787,-0.0271351856726802,-0.203548306101046,0.0662282934878501
"learn",0.109429403487004,0.0107306642160526,0.0298143304806802,-0.0221361855153326,-0.0733947057752493,-0.0019496728603686,0.0274292023175111,-0.00195937640119451,0.0609425309499962,0.123495577962268,0.0112567823478387,-0.0749314707505677,-0.00770895887377425,0.035064657319406,-0.0695443500910924
"prepare",-0.00996908630318564,0.0658250199351391,0.203617168726535,0.0694996708930872,0.0609600929080633,-0.0779470229761259,0.00633100206687357,-0.0511583547971172,-0.00897313663397025,0.10048550819271,-0.0829669008048015,-0.0424314430331826,-0.0125394082314841,-0.0277116169506354,-0.00257331035471955
"plan",-0.0518745058842145,-0.0452180470725816,0.0434927341344419,0.0459655939698573,0.0606222289799396,0.0238880641962914,-0.0614963263378966,-0.0198531507601638,-0.026123468257777,0.164359696340189,-0.00214397561872993,0.105217950859982,-0.0480570245434125,-0.111874378858676,-0.0484736192729129
"complete",-0.0149581489123927,-0.00871466571679296,-0.0383753948538798,0.167359398672401,0.0208526541726199,-0.0770179915222049,0.0416622105388068,0.00786808127049502,-0.0161249321244809,0.117650254611069,0.0396316070967776,0.0480833924867508,-0.0171838765183027,0.0873419633624914,0.0395051391712816
"train",-0.0795088967782399,-0.0491635522916777,-0.0139529401837042,-0.0425015446568584,0.0696178066764143,-0.00161153912521522,-0.0103362321305534,-0.0826955077893074,0.227183076263311,0.0114174365334934,0.0478438568817945,-0.0926474908575217,0.0284305464899856,0.0152303127364826,0.00229321041300922
"day",-0.0232705753848214,-0.0227878291884757,0.0221113437413043,0.0476102727341242,0.0892244649406997,0.000732262665136142,0.012792875197414,0.00900288718651939,0.121383022588854,-0.00851577080880978,0.0889172002024952,0.011001233469809,0.00215407321024589,-0.103988487106439,0.0923337952589389
