Filename,WC,exam,in_class,mealtimes,socializing,at_work,schedule,coursework,at_home,downtime,relationships
1_1_1.txt,105,8.57,1.9,0,0,4.76,5.71,0,0.95,0,0
1_1_2.txt,30,3.33,0,0,0,3.33,0,10,0,6.67,0
1_1_3.txt,53,0,0,0,1.89,5.66,0,0,3.77,1.89,1.89
1_2_1.txt,91,0,0,1.1,1.1,1.1,0,0,2.2,1.1,1.1
1_2_2.txt,49,2.04,2.04,2.04,0,2.04,0,0,0,4.08,0
1_2_3.txt,55,1.82,0,1.82,0,1.82,3.64,3.64,3.64,3.64,0
1_3_1.txt,78,8.97,1.28,0,2.56,2.56,1.28,2.56,2.56,0,0
1_3_2.txt,48,0,0,0,0,2.08,0,2.08,0,0,0
1_3_3.txt,28,0,0,0,3.57,7.14,3.57,3.57,0,14.29,0
10_1_1.txt,31,0,0,0,0,3.23,3.23,0,3.23,0,0
10_1_2.txt,48,4.17,2.08,0,0,0,4.17,0,2.08,0,0
10_1_3.txt,67,2.99,1.49,1.49,1.49,0,0,0,1.49,2.99,0
10_2_1.txt,50,8,0,0,2,6,4,4,4,0,0
10_2_2.txt,61,1.64,1.64,1.64,0,1.64,4.92,1.64,1.64,3.28,3.28
10_2_3.txt,82,1.22,0,1.22,3.66,0,0,1.22,0,2.44,1.22
10_3_1.txt,182,2.75,2.2,1.1,1.65,2.2,2.75,4.95,2.2,2.2,0
10_3_2.txt,67,0,1.49,1.49,0,0,1.49,1.49,5.97,1.49,0
10_3_3.txt,154,1.3,0.65,0,3.25,0.65,0.65,1.3,1.3,5.19,0.65
11_1_1.txt,301,0.33,0,0,0.33,2.33,0.33,2.33,0.33,0,0
11_1_2.txt,58,0,0,1.72,1.72,1.72,3.45,1.72,0,1.72,0
11_1_3.txt,99,0,0,1.01,5.05,0,1.01,0,0,6.06,1.01
11_2_1.txt,206,0,0.49,0,1.46,0.97,0.97,0.97,0.49,0.49,1.46
11_2_2.txt,83,0,0,0,4.82,2.41,0,4.82,0,0,0
11_2_3.txt,132,0,0,1.52,2.27,0.76,6.06,2.27,3.03,0.76,0.76
11_3_1.txt,125,0.8,0,0,1.6,0.8,1.6,0,0,0.8,0
11_3_2.txt,31,0,0,0,0,0,0,3.23,3.23,3.23,0
11_3_3.txt,80,0,0,2.5,1.25,1.25,0,1.25,2.5,3.75,1.25
12_1_1.txt,105,0.95,0,0,2.86,0,0,0,2.86,0,1.9
12_1_2.txt,66,0,0,0,0,0,0,0,0,0,0
12_1_3.txt,91,1.1,0,2.2,0,3.3,0,1.1,2.2,3.3,0
12_2_1.txt,55,5.45,0,0,1.82,0,3.64,0,0,0,0
12_2_2.txt,65,0,0,0,0,1.54,6.15,0,1.54,0,0
12_2_3.txt,93,2.15,0,1.08,4.3,1.08,0,2.15,0,2.15,2.15
12_3_1.txt,86,4.65,6.98,0,3.49,2.33,2.33,0,0,0,2.33
12_3_2.txt,92,1.09,1.09,1.09,1.09,1.09,3.26,0,5.43,1.09,0
12_3_3.txt,62,0,0,1.61,1.61,0,1.61,0,4.84,0,1.61
13_1_1.txt,94,0,0,0,0,1.06,0,1.06,0,0,0
