,RC6,RC2,RC1,RC7,RC3,RC4,RC8,RC5,RC9,RC10
droevig*,,,,,,,,,,x
down,,,,,,,,,,x
verhuizen,,,x,,,,,,x,
verhuis*,,,x,,,,,,x,
vermoei*,,,,,,,x,,,
moe,,,,,,,x,,,
supermoe,,,,,,,x,,,
vertel*,,,x,,x,,,,x,
vertrek*,,,x,,,,,,,
vertrok*,,,x,,,,,,,
vervelen,,x,,,,,,,,
verveel*,,x,,,,,,,,
verwacht*,,,,,,,,,,x
voorbereid*,x,,,,,,,,,
vragen,x,,x,,,,,,,x
vraag*,x,,x,,,,,,,x
vroeg*,x,,x,,,,,,,x
gevraagd,x,,x,,,,,,,x
vriend*,,,,,x,,,,,
wacht*,,,x,,,,,,,
gewacht,,,x,,,,,,,
wandel*,,,x,,,,,,,
gewandeld,,,x,,,,,,,
lopen,,,x,,,,,,,
loop*,,,x,,,,,,,
liep*,,,x,,,,,,,
gelopen,,,x,,,,,,,
weblecture,,x,,,,,,,,
week,,,,,x,,,,,
weekend*,,,,,x,,,,,
werk*,,,x,,,x,,,,
gewerkt*,,,x,,,x,,,,
zenuw*,x,,,,,,,,,
