"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3960,1980.5,1143.29786145169,1980.5,1980.5,1467.774,1,3960,3959,0,-1.20090912909322,18.1681956543112
"WC",2,3960,131.718181818182,86.4890222523733,139,130.267361111111,121.5732,25,509,484,0.0480913390183869,-1.59635332537899,1.37440078496779
"RC2",3,3960,1.1456889469697,2.87546722012335,0.44053,0.92405091540404,1.858490991,-11.42857,17.85715,29.28572,1.02748571641197,3.40278575549046,0.0456941736831606
"RC6",4,3960,1.2168939040404,1.86084646581273,0.44643,0.816853513257576,0.661877118,0,14.8148,14.8148,2.63597724507278,9.1850778322845,0.0295707914913719
"RC12",5,3960,1.4791216010101,2.61278717536372,0.89888,1.24634404987374,1.332679488,-12,19.23077,31.23077,1.21922594428463,4.37311034688288,0.0415199137561662
"RC1",6,3960,3.31808148232323,2.82498472055703,2.94118,3.04542466540404,2.294034393,-6.06061,28.57144,34.63205,1.38056268080441,4.95887664604675,0.0448919541040258
"RC3",7,3960,1.576678,2.77427565229629,1.34529,1.47497952651515,1.994526954,-10.71429,21.05263,31.76692,0.620571818240797,3.63431440260698,0.0440861341119904
"RC4",8,3960,2.86782304040404,2.76009244505056,2.29359,2.46658651515152,2.070791898,-3.57143,22.22222,25.79365,1.74114043364065,4.87037019846353,0.043860748153585
"RC5",9,3960,1.3091188030303,2.14913419208282,0.80809,1.0105039614899,1.198074234,-7.5,15.625,23.125,1.78494443437877,6.17514918599813,0.0341519841903253
"RC8",10,3960,1.17746008333333,2.32460151511513,0.86768,1.09174243055556,1.292026596,-11.36363,15.78948,27.15311,0.47463676020841,3.08080415057806,0.0369403429927649
"RC14",11,3960,1.60096491666667,2.89049589393817,1.35135,1.5002672885101,2.00351151,-11.53846,18.75,30.28846,0.495069519676675,2.88125375509621,0.0459329949873007
"RC9",12,3960,2.78111103787879,2.86436464514452,2.30415,2.47507136994949,2.25837045,-11.42857,22.22224,33.65081,1.11243130318421,3.49334553119748,0.0455177421850504
"RC15",13,3960,2.00435556060606,2.87711790079367,1.80996,1.89201570707071,2.629405926,-11.11112,17.85715,28.96827,0.576358361381522,2.87803159219805,0.0457204047209263
"RC7",14,3960,3.00788155808081,3.15167426863366,2.62008,2.76245889835859,2.598827301,-11.42857,22.22222,33.65079,0.784774488878233,2.48128974301174,0.0500833918105027
"RC13",15,3960,2.83945476262626,2.99026300837029,2.51046,2.6124307260101,2.443895601,-10.52631,22.22221,32.74852,0.866665386248465,2.74276229715695,0.0475183985081008
"RC10",16,3960,1.80096971212121,1.96945308750736,1.340785,1.46257317550505,1.987847841,0,14.63413,14.63413,1.75219704429899,4.22483434248012,0.0312966640035415
"RC11",17,3960,0.343070651515152,2.78312337545651,0,0.302881764520202,2.06874591,-15.3846,15.78948,31.17408,0.255624908313511,2.72066721662025,0.044226733662545
