"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3758,1879.5,1084.98548377386,1879.5,1879.5,1392.9027,1,3758,3757,0,-1.20095799875455,17.6988700204279
"WC",2,3758,144.318520489622,82.7246326508107,201,144.989694148936,59.304,31,509,478,-0.156945535155928,-1.47167828428484,1.34944894901424
"RC7",3,3758,1.14352486695051,1.66718206762672,0.45455,0.79653435837766,0.67391583,0,14.28571,14.28571,2.64107372305257,9.78805002421515,0.0271959755744193
"RC2",4,3758,1.57858176157531,2.65261955690787,1.1236,1.35268243018617,1.66584936,-11.11111,15.68625,26.79736,1.00721916206982,3.18496025359346,0.0432709648686347
"RC3",5,3758,2.2449007637041,2.37423630997623,1.86916,2.0007521775266,2.103379446,-8.69565,21.05263,29.74828,1.3129211669735,4.7322881470064,0.0387298267824641
"RC4",6,3758,1.99931117881852,2.58604504887319,1.8018,1.84926501994681,2.103312729,-11.6279,18.60464,30.23254,0.746775840575916,3.43806460630063,0.042184965487075
"RC6",7,3758,2.03488865353912,2.65762291796773,1.8018,1.88339789893617,2.240438403,-10.41667,21.05263,31.4693,0.837935405712966,3.48974396742416,0.0433525824002865
"RC8",8,3758,1.92845505055881,2.55218695078654,1.636,1.75767379654255,2.4255336,-7.5,21.21212,28.71212,0.93305360821176,3.02585774472334,0.0416326538790983
"RC15",9,3758,3.66202140234167,3.14164948015669,3.112855,3.35862408577128,2.588760447,-5.26316,24.24241,29.50557,1.15920924521716,2.72886181675033,0.0512482854661189
"RC5",10,3758,1.4098222884513,2.13196751264162,0.917435,1.11946141954787,1.360189131,-5.88236,18.18182,24.06418,2.07132215526682,8.32052701251879,0.0347778071304441
"RC1",11,3758,1.80333947578499,2.58486338622846,1.694915,1.6986435837766,2.512880979,-11.7647,15.99998,27.76468,0.4632935417182,2.42516771053071,0.0421656895669177
"RC11",12,3758,1.78923605907398,2.3924755195023,1.37616,1.57786933510638,2.040294816,-6.38298,18.9189,25.30188,1.22187377920473,4.08592535191896,0.0390273546328408
"RC12",13,3758,1.64372704097924,2.42893872558781,1.32451,1.46617038231383,1.963718526,-11.11111,19.44446,30.55557,0.942199267120948,3.71731708190388,0.0396221621714548
"RC9",14,3758,2.27738054550293,2.88699486715779,2.066115,2.11975321476064,2.462976663,-8.82353,22.22222,31.04575,0.824657726989205,2.96778869447271,0.0470942216901751
"RC13",15,3758,1.41906017828632,2.75518369983694,1.333325,1.36710009308511,1.976787645,-9.0909,15.15151,24.24241,0.256592048247882,1.44663571315557,0.0449440466394102
"RC10",16,3758,1.63729304151144,1.86663754061892,1.32744,1.40995459109043,1.814064882,-5.71429,17.07315,22.78744,1.38584782964716,4.71777625684519,0.0304496011243881
"RC14",17,3758,1.20421835284726,2.10254717368706,1.044395,1.13922312832447,1.548420027,-8.82353,12.76596,21.58949,0.477791126129539,2.57660336081278,0.0342978866495704
