"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3591,1796,1036.77673585011,1796,1796,1331.3748,1,3591,3590,0,-1.20100255269069,17.301252363148
"WC",2,3591,142.485937064884,83.6921421813482,201,142.813435433345,63.7518,30,509,479,-0.127655885673594,-1.52130227576489,1.39661589870137
"RC2",3,3591,2.3934083904205,3.57939249252487,1.80996,2.12476012530456,2.683446696,-14.28571,22.22224,36.50795,0.823114759959114,2.6465823135026,0.0597312523309584
"RC1",4,3591,6.10351263714843,3.97932828126413,5.64519,5.83495739993039,3.754417632,-8.57142,30.30302,38.87444,0.779143232490456,1.4701946129339,0.0664051964606547
"RC3",5,3591,4.02623105541632,3.53889845434079,3.91303,3.94906913679081,2.954036022,-10.86955,23.68421,34.55376,0.257540211500537,1.82573886124485,0.0590555064836605
"RC4",6,3591,2.96251792815372,3.60547399959661,2.5751,2.79765642533937,3.189621162,-10.81081,21.2121,32.02291,0.592478285435314,1.50962306674153,0.0601664885011541
"RC5",7,3591,3.25846392648287,3.52507550916735,2.73972,2.93413255134006,2.744055384,-9.0909,28.20512,37.29602,1.27218841675202,3.73083861382742,0.0588248355449925
