"","RC2","RC1","RC4","RC3","RC5"
"study",0.267454944572005,0.191859070731347,0.223380918354191,-0.0248701476132856,-0.068913991382507
"enjoy",0.0519613283700853,0.146814493572647,-0.0641271325559703,0.0410984210798051,0.293832380849915
"thought",0.0350318894543681,0.0319740976824364,0.123807835245931,0.189939412914803,0.01577916579789
"work",-0.0497338163200125,0.0760319619374284,0.425225679204303,0.21000005467393,-0.108861828623743
"happy",-0.0978069603984761,0.172060108033687,-0.0333238299546855,0.227519664331343,0.313871270353629
"learn",0.237387181993083,-0.0522632494636194,0.00466346654620409,0.0255383073256447,-0.030281680720015
"prepare",0.205135571402541,0.201067347257347,0.108939939662347,-0.00127344070307469,-0.0413134919845538
"plan",-0.0614248454206311,0.106108912874657,0.0839321613719651,0.260686446634536,0.0430125948245656
"complete",-0.054784299060528,-0.0197776050307727,0.434883302638647,0.136925057754454,0.0642715830754284
"train",-0.0941493184447291,0.0874253654725502,-0.0127240695646213,0.237225311673088,-0.157027157091294
"day",0.0770586153305136,0.282953901766602,0.241353483068296,0.206853029837701,0.0999433894297823
"question",0.333675244048091,-0.0759005445347325,0.0536997015012331,0.18087144297413,-0.0712112442111469
"move",0.062852354309232,0.00176047753379347,0.00470120689153846,0.252408157314578,0.00506400030866677
"answer",0.207323305327516,-0.0591007760565072,-0.0200505380047554,0.235933385302716,-0.0168286411596745
"discuss",0.0560371249807964,-0.0661104091419545,-0.0128161568844068,0.246644167631766,0.0118491491125367
"watch",-0.0813736100278113,-0.0657691915325806,0.0353684824228958,-0.149585751761165,0.601036358231624
"frustrate",0.0187626177935473,-0.0777420533721037,0.156476614478786,0.18975933498941,-0.184778107615624
"job",-0.0467827652760092,-0.0757995151531297,0.117955602996434,0.223501031522017,-0.0472387320485769
"nervous",0.256446855078838,0.0332309889555341,0.0415211735852341,0.0623508637708414,-0.029798537907695
"call",-0.0756868136321696,-0.0726125173858037,0.0785694261786487,0.278838491497432,0.109384686192607
"start",0.132930852874396,0.17316176964687,0.211814096420758,0.205554190603134,0.12889023055266
"conversation",-0.0538279668494238,0.00038590986554327,-0.0739123012503427,0.313378635718845,0.0915711014608475
"friend",0.00429068417992803,0.131320978583197,-0.0221895309514685,0.259967992790351,0.217488782940585
"weekend",0.0549827690044022,0.147013698761983,0.0266556433574615,0.162354119442216,0.109692808199253
"excite",-0.00918402860503641,0.149177595786396,-0.116822533581621,0.167740621681121,0.184330646982204
"show",0.0162116749780166,-0.0166675198086283,0.0223340677468961,0.0713759306987114,0.355287902040621
"stress",0.167713398677912,0.109836463802129,0.173406183074467,0.0231939923573046,-0.0622143546068986
"meet",-0.0318049440175942,0.0805780219872807,0.0192719919884732,0.346191583341036,-0.0474124493990095
"breakfast",-0.0847105790105005,0.448909504135646,0.0235576092171489,-0.117256074578935,0.0387295808266349
"left",0.0106870432940453,0.191823922110948,0.0420541853453631,0.148288940677951,-0.0380327380711483
"student",0.129725434855272,-0.0196387411137055,0.0844097464542691,0.204517397617428,-0.0933916284695814
"relieve",0.0478546319873735,0.0507628035063575,0.120054213918398,0.0885415338908459,0.103126843713532
"email",-0.00839972877658962,-0.0191523951539469,0.0250283134722418,0.144551236748144,-0.0858209663850302
"read",0.146623197928895,-0.0228265936783857,0.0284839410022518,0.0712596404512155,0.0398165693573857
"due",0.0811635824995428,0.0330701782142448,0.342771417723718,0.0456489516305707,0.0122189819406321
"leave",0.0196372481578251,0.145846751304604,-0.0107822913820891,0.15291495353432,-0.0259570953656686
"paper",0.0522388655978247,-0.064039624847102,0.152818509998682,0.0863912587109082,-0.064237772878368
"room",0.0451717239324403,0.124781194388218,-0.0377104913925364,0.00865899279779201,0.237111642008286
"today",0.0841205690125631,0.205751793873485,0.209579876019639,0.1589641527493,-0.0319351804082794
"lab",-0.0353669133438617,0.214723328343746,0.126035510849162,0.229734333216049,-0.153214877838276
"phone",-0.0237947069734459,-0.0451599491190623,-0.0401905896899328,0.197829549256431,0.20523417936822
"close",0.0278871404839926,0.083201416025978,-0.00802300013254398,0.172656947019744,0.0489469934809167
"break.",0.0375920409107277,0.190173711176822,0.0181227272535162,0.03123428441305,0.150930193035674
"eat",-0.115001615336566,0.610250825468894,-0.0687480334487545,-0.12625048010891,0.107026083878195
"lunch",-0.113512138894835,0.422986161870659,0.00173682165424172,0.0159894258742021,0.0934017302654734
"morning",0.0478094152918801,0.353832824844768,0.133782792904997,0.0521286522811886,-0.00696132221650238
"told",-0.00510662223194423,0.0361371911048661,-0.0742673900774093,0.391240396571599,0.00956077067924346
"people",0.0228539120957334,0.069475468301334,0.0682282658310913,0.272833391628244,0.0327822492893081
"decide",-0.0649351432173359,0.185500810647621,0.120971057469027,0.0726419553879432,0.183794286339716
"long",0.0057191041409624,0.12436866084489,0.0972809619263906,0.142674862718673,0.0829440952944831
"project",-0.100840556086252,-0.150521559735758,0.287211046146545,0.127639019211159,-0.00920782955313487
"wait",-0.0350433878957875,0.231434641255935,-0.0649117501386561,0.154681906686315,-0.0436527879161506
"alone",-0.108314328311856,0.0359035490518609,0.417554291627346,-0.119567988593842,0.1275870004516
"place",-0.0956379187405861,0.0712420305057552,0.0268820580482373,0.188123689378107,0.0338496894887651
