"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3591,1796,1036.77673585011,1796,1796,1331.3748,1,3591,3590,0,-1.20100255269069,17.301252363148
"WC",2,3591,142.485937064884,83.6921421813482,201,142.813435433345,63.7518,30,509,479,-0.127655885673594,-1.52130227576489,1.39661589870137
"RC2",3,3591,0.88029918128655,2.9461369355186,1.00000000000655e-05,0.689030233205708,2.21285463,-13.15789,15.55554,28.71343,0.714762622495604,2.33722631609782,0.0491637754352235
"RC6",4,3591,1.37274416318574,2.09021817228149,0.88888,1.08946220327184,1.317853488,-8.69565,16.66668,25.36233,1.91602435867217,7.43735312464652,0.0348805975695701
"RC1",5,3591,3.46819913116124,2.79700335869114,3.05676,3.27288548903585,2.367578766,-10.25641,22.22222,32.47863,0.917638630162151,3.24074833190045,0.0466751030342218
"RC3",6,3591,2.62617450849346,2.56046646743012,2.26416,2.36082907065785,2.189444376,-5.55556,21.05263,26.60819,1.23075553509277,3.61706417079608,0.0427278844022896
"RC9",7,3591,3.16571252018936,3.03880123699359,2.67858,2.90073050121824,2.618019558,-15.78947,22.22224,38.01171,0.84997771157478,2.62330243204448,0.0507101145933444
"RC4",8,3591,2.6997484823169,2.76628515741064,2.27273,2.43878163243996,2.096944962,-10.81081,24.24241,35.05322,1.07327091180796,3.98924754932299,0.0461624918479185
"RC8",9,3591,1.83333942634364,2.96380872096191,1.42179,1.69284535676993,2.107945854,-12.8205,16.21622,29.03672,0.534478874358764,2.00996746866685,0.0494586740465542
"RC5",10,3591,2.01517297410192,2.595129406325,1.55764,1.70498667942917,1.944014772,-8.10811,19.44446,27.55257,1.57026088552271,5.70326914438777,0.0433063235519461
"RC7",11,3591,0.788563221943748,2.99867769181764,0.45662,0.753540501218239,2.553689544,-11.36363,21.05263,32.41626,0.232661507305723,2.22366665889696,0.0500405513626223
"RC10",12,3591,1.65066021164021,2.34686505283251,1.36986,1.48842412808911,2.030954436,-8.33334,17.94871,26.28205,1.02246903927134,3.64080496911851,0.0391634024349657
