"","RC2","RC1","RC3","RC4","RC5"
"relieve",0.00547050810554807,0.017850549362142,0.00737139173490181,0.037402076322131,0.0149617250098272
"frustrate",0.00189202825484123,-0.0305079140438971,0.0430740311435567,0.0891143656138219,-0.0575769418150925
"long",-0.00927078698491559,0.0300908087995846,0.0278638543427241,0.0306682350291174,0.0187153837824254
"happy",-0.0356707542850325,0.0482804204268809,0.078852020592224,-0.0261743330888764,0.059509032067257
"issue",-0.00214023054481624,-0.0348558971783377,0.0433587123331014,0.0790129260918447,-0.0164985816135635
"place",-0.0280990768251497,0.00728388787855723,0.0700904681002877,0.016598589160537,-0.000892147874215687
"work",-0.0298375125255139,0.00867448214862302,0.010198894790876,0.163099425137141,-0.0337043507172114
"email",-0.00483620059175849,-0.0240663907775438,0.0376460438208365,0.043486303485679,-0.034567283977546
"lunch",-0.0428015581568129,0.118776675248012,-0.00615822470825223,-0.0348260268094268,-0.00467805182342866
"class",0.181159892239794,0.038518875594353,-0.0338079089791592,-0.0827532361641909,0.0408188920128183
"call",-0.0294366813921797,-0.0349570032535438,0.0837484859213207,0.0497418477761639,0.0192964160896421
"study",0.0688733723522993,0.0779528285596995,-0.0442452391430063,0.0323615932670069,-0.0400209593058496
"enjoy",0.00271978662952602,0.0284083448804432,0.035791044047372,-0.0429683979065857,0.0781973792324192
"thought",0.00143647487432902,-0.0126202922682849,0.0597994791959121,0.0493162031012518,0.026513331143423
"learn",0.0722644855950299,-0.0244191463268703,0.0164709316697367,0.00177016775276619,-0.00260933676021197
"question",0.0901614511526225,-0.0300964468627128,0.041561582804719,0.0266817942618928,-0.0527890471355206
"move",0.00970854338726862,-0.0188938330235252,0.0836495451949925,0.00796892202469645,0.00698723179092712
"answer",0.0515905239719775,-0.0283384602116222,0.0590078140108585,0.012638911919758,-0.0317991356286802
"discuss",0.0111587951831124,-0.027735622791149,0.0886897546934493,0.00731879054732028,-0.0369343874345212
"prepare",0.0450642950182768,0.0728508236295562,-0.0237143771169763,0.0040537747029846,-0.0375905339652412
"plan",-0.0253643507458579,0.0316005886866584,0.0643760826086899,0.0270553593228984,-0.0164805062347491
"complete",-0.028441795304392,-0.0279322845261561,-0.000303496881056659,0.173559059470932,0.0383510965378018
"task",-0.0305906411058136,-0.0467438721100081,0.0171124126389296,0.124846816504383,0.00837522560275511
"train",-0.0328006453020884,0.00812697086243662,0.0566182587620871,0.0231178294624767,-0.0525099378339507
"day",0.000880617625932611,0.0772123234007547,0.0212736527286467,0.0622542817345801,0.0235933542050901
"start",0.0221144964713062,0.0462874311680195,0.0306560865070872,0.0475802503743316,0.0405246315600905
"conversation",-0.0178263789004543,-0.0177576903780331,0.110642506613638,-0.00984304750124902,-0.00942017672246775
"friend",-0.00769922597868522,0.0440223472845856,0.100203951303591,-0.0470510228890145,0.0300937896539777
"weekend",0.00261934360184004,0.0494021021482372,0.0297866408847595,-0.00741998546284151,0.00579769276289922
"stay",0.029753343777383,0.006498661442721,0.0148408351594046,0.011576236584558,0.0439261686935724
"excite",-0.00854037327723356,0.0468265320141781,0.0660535734951155,-0.0520962277048209,0.0245526264637482
"schedule",0.00553845117744026,0.0318778947181043,-0.0103423291048533,0.0675721469876371,-0.0383080768634256
"watch",-0.0236460579696405,-0.0307780331209788,-0.0236883588206645,-0.0082601852776278,0.23629709679282
"late",0.00202523178871581,0.0715516558952406,-0.018782927781707,0.0309163279179515,-0.0234831990089036
"job",-0.0146596235646542,-0.0377189256967298,0.0640100934577657,0.0709866618789807,-0.0280856720051611
"nervous",0.0677066970404163,0.0289657074923014,0.000567643867481982,0.00530689150227051,-0.0489875175517521
"begin",0.0536929324879963,0.00739588576526667,0.0356674133140797,-0.00737231155613749,0.0126095325646823
"show",0.00274935709656717,-0.0158673393766215,0.0254856892194518,-0.0016123269417776,0.125409822359334
"hallway",0.00570146541616262,0.0857633414875534,0.0195105553737205,-0.0540536090214935,-0.0298675031045718
"stress",0.0430392779942266,0.047989124079728,-0.01564011670437,0.04045182538317,-0.0407291564416178
"left",-0.00698725618899552,0.0598582510866214,0.0265941978331106,-0.00301064979931744,-0.0194589328940165
"student",0.0306576522187261,-0.0211719042488347,0.0526983609593331,0.0482947943418192,-0.0431279862036014
"meet",-0.0226019659960234,0.0286938501234274,0.090897112365978,0.016634503734014,-0.082823213730075
"great",0.00522290411408612,0.0114554920667337,0.0475956951748074,0.00477789127271264,0.0154158752029544
"read",0.0268744945092109,-0.0264171621768546,0.0379847149483851,0.00344436313407022,0.0283698319452892
"due",0.00749086651479849,0.0114181623283271,-0.0206365645915461,0.10767200499053,0.00564370608258519
"anxious",0.0456067369763341,0.0302891374737451,0.000928655582657174,0.00377367724564164,-0.0429950555086174
"office",-0.0111847622277292,-0.0107877401295133,0.0705736088924919,0.0386684859238055,-0.0652898703582332
"laptop",-0.00861239010314819,-4.65231201093733e-05,0.00895943907552637,0.0168517000586364,0.0405720441946858
"breakfast",-0.0347785299077103,0.138143558393583,-0.0457978619558194,-0.0326429892796715,0.00401141679527063
"hope",0.0176012734838659,0.0238216545794955,0.0170039497255648,0.0228802292516816,-0.0473773346849947
"leave",-0.00387981572219397,0.0348547784935431,0.0373460989871945,-0.00662533293509948,0.000422976704854372
"today",0.00785858998923577,0.0423371648472915,0.0135746571083517,0.0676443730119473,-0.00245409270547915
"final",0.045664298874824,0.0465212203860801,-0.0161016347669441,0.0099919918196938,-0.0196908937170148
"lab",-0.0286715145442148,0.0565489227197129,0.0229817905836566,0.0588883078733934,-0.0715238311934626
"computer",0.0201383060166838,-0.0201995679185123,0.00737830770136277,0.0448411144886611,0.0150418195436333
"phone",-0.00792165988173146,-0.0348970941210377,0.0678003943484699,-0.00255532735907483,0.0701984692512153
"close",0.00633767213618898,0.0128323675426262,0.0650331336307467,-0.0152514083510087,0.0186179650112159
"room",0.0123978366784503,0.0511342337856192,0.00776121203574182,-0.0528095513252868,0.0844328131094481
"paper",0.00887895242232615,-0.0279577600765267,0.00856436375736117,0.0653735175989756,-0.0167285434499292
"break.",-0.000539638199302136,0.0516764517278817,0.00851468889717239,-0.0190001434274587,0.0280593453407273
"eat",-0.043587665671086,0.187170610865695,-0.0363633233216693,-0.086299506329423,-0.00401867119966223
"test",0.0845646119135044,0.0196886502920022,-0.0131407280069202,0.0121278257550091,-0.0437274891442399
"morning",-0.000521186319186777,0.103050184481207,-0.0225558637171854,0.0234346094941093,0.00435013079123951
"told",-0.00633039487442098,-0.00425102539657098,0.11809519598679,-0.00755028880770846,-0.0260371257216877
"people",-0.0113227980113011,-0.00317525382190882,0.0965195865916336,0.0329010049925467,0.00417877552808829
"decide",-0.0260442674643905,0.0490198867701778,0.0085769671219325,0.0238021632191085,0.0729886211583711
"year",0.00116832025108215,-0.00950805310069731,0.102613052144012,-0.0192326889711761,0.000109688652074614
"project",-0.0267490289404898,-0.0542420225069867,0.00887284752538832,0.134132821359064,0.00265028237232957
"continue",0.00100121653135302,-0.0339847066787549,0.0272835851426373,0.0333034844171519,0.0753632243060585
"week",0.0332903132712006,0.0385132896191628,0.0405685558882752,0.0277943929533571,-0.0204432309364003
"annoy",-0.00181321776348273,-0.0332896245429748,0.0673733912310956,0.0442745650332327,-0.0371012899052213
"note",0.11599228385479,-0.0051407446128719,-0.023395768484465,-0.0274364986914433,0.0128099452606518
"rest",0.0197046383870433,0.0358013061683853,-0.0180725933256716,0.0031482463509897,0.0517902107842436
"wait",-0.0177867509733431,0.0724408056273137,0.0364823466550191,-0.0294205597856107,-0.0425348786684793
"realize",0.0203654521377529,0.0199338511557609,0.025310197263212,0.0318125443671978,-0.00828415737450768
"alone",-0.0398427170645873,0.0156871220223672,-0.0643528781210652,0.135187048677975,0.0654057456887796
"hour",0.031901608871222,0.0500133274467142,0.0122131098127085,0.00998914929353069,-0.00620532591010582
"stop",-0.000126961037465358,0.0031548386204178,0.0634347403082939,0.00176813742129035,0.00750394491603979
"understand",0.0709047809265714,-0.0371702310788552,0.0157800974641147,0.030972008330216,-0.0132562357811894
"early",0.0157110218236528,0.0761306478022406,-0.0177847817642834,0.0153849133981577,0.0163197870183712
"worry",0.0264537893603834,0.0239281119270376,-0.00430168615794536,0.0443338279217391,-0.0240650472658805
"minute",0.0297388199257836,0.0342931000763162,0.026588049978759,-0.00268743447526299,0.0130615503301855
"expect",-0.00275059554181192,0.0285334434796377,0.0292649505357949,0.0227100747154286,-0.0208116463729993
