"Filename","WC","RC2","RC1","RC3","RC4","RC5"
"10_1_760.txt",32,2.85714,2.85714,2.85714,-2.85714,5.71428
"10_1_761.txt",39,9.5238,-4.7619,2.38095,0,4.7619
"10_1_762.txt",41,18.18181,-2.27272,2.27273,-6.81818,11.36363
"10_1_763.txt",44,6.38298,10.6383,2.12766,-2.12766,2.12766
"10_1_764.txt",63,2.98507,2.98507,1.49254,2.98507,0
"10_1_765.txt",85,8.69567,1.08696,7.6087,1.08695,7.6087
"10_1_766.txt",207,3.24074,7.4074,4.16667,1.85185,0.92591
"10_1_767.txt",217,6.75105,8.86075,5.06328,-1.68777,2.95358
"10_1_768.txt",238,6.71935,0.79052,3.55731,1.58103,1.18577
"10_10_846.txt",28,6.45162,9.67743,0,3.22581,0
"10_10_847.txt",33,22.22224,-5.55556,2.77778,-2.77778,11.11112
"10_10_848.txt",36,5.26316,18.42106,7.89474,7.89474,7.89474
"10_10_849.txt",41,11.1111,-2.22222,4.44444,2.22222,4.44444
"10_10_850.txt",43,8.69566,-6.52175,2.17391,-2.17391,15.2174
"10_10_851.txt",43,6.52173,4.34782,0,-2.17391,-2.17391
"10_10_852.txt",65,5.71428,8.57142,4.28571,1.42857,0
"10_10_853.txt",201,5.04589,3.21103,3.66976,2.75231,1.37616
"10_10_854.txt",205,4.54547,8.18183,3.18182,2.27275,3.18184
"10_10_855.txt",215,0.84746,7.20341,4.66103,2.54238,3.38984
"10_11_856.txt",32,5.88236,14.70589,5.88237,8.82354,8.82353
"10_11_857.txt",36,2.5641,10.2564,-2.5641,7.6923,5.1282
"10_11_858.txt",38,7.14285,4.7619,4.7619,2.38095,-2.38095
"10_11_859.txt",46,6,6,4,2,2
"10_11_860.txt",50,1.85185,3.7037,3.7037,0,1.85185
"10_11_861.txt",50,7.40741,5.55556,1.85185,-5.55556,1.85185
"10_11_862.txt",53,8.77195,-1.75439,3.50878,0,3.50878
"10_11_863.txt",65,2.89856,4.34784,7.2464,5.79712,1.44928
"10_11_864.txt",213,1.74672,1.31004,4.3668,3.49344,-1.31004
"10_11_865.txt",212,0.8658,3.0303,6.9264,0.8658,6.9264
"10_11_866.txt",215,3.04348,3.04347,6.08694,3.04346,-1.30434
"10_12_867.txt",29,0,9.99999,3.33333,3.33333,0
"10_12_868.txt",33,2.85714,8.57142,11.42856,8.57142,2.85714
"10_12_869.txt",37,2.5641,0,7.6923,7.6923,-2.5641
"10_12_870.txt",40,7.14285,9.5238,7.14285,11.90475,4.7619
"10_12_871.txt",40,2.43902,12.1951,7.31706,2.43902,0
"10_12_872.txt",45,4.16667,0,0,6.25,0
"10_12_873.txt",44,2.08333,0,6.25,0,0
"10_12_874.txt",46,-2.04082,12.24491,12.24491,-2.04082,4.08163
"10_12_875.txt",201,-0.92593,8.33331,5.55553,0.9259,1.38888
"10_12_876.txt",217,4.13221,4.13223,8.67767,6.19833,2.89256
"10_12_877.txt",237,2,9.2,5.6,5.6,2.4
"10_13_878.txt",29,3.22581,-3.22581,0,3.22581,3.22581
"10_13_879.txt",27,0,14.28572,0,10.71429,14.28572
"10_13_880.txt",32,0,8.82354,2.94118,2.94118,0
"10_13_881.txt",37,-7.31707,9.75609,0,-7.31707,0
"10_13_882.txt",42,0,2.08333,0,4.16666,2.08333
"10_13_883.txt",44,2,0,2,0,0
"10_13_884.txt",49,0,13.72547,9.80391,9.8039,0
"10_13_885.txt",205,0.45455,4.54548,5.00002,5.90911,1.81819
"10_13_886.txt",219,6.00855,6.43774,6.43773,3.00429,0.42917
"10_13_887.txt",220,2.97872,1.27659,5.10638,5.10638,1.27659
"10_14_888.txt",33,2.77778,8.33334,11.11112,0,2.77778
"10_14_889.txt",35,2.63158,5.26316,7.89474,5.26316,2.63158
"10_14_890.txt",36,0,10,10,12.5,-2.5
"10_14_891.txt",48,1.92308,1.92308,1.92308,0,3.84616
"10_14_892.txt",60,9.375,3.125,0,3.125,3.125
"10_14_893.txt",209,4.40529,2.20265,7.04847,5.28635,-1.76211
"10_14_894.txt",210,9.77775,11.99997,4.44442,-1.77779,0.44442
"10_14_895.txt",219,4.93827,3.29218,5.34979,0.41151,0.82304
"10_2_769.txt",202,0.92592,3.70369,6.0185,1.85184,2.31481
"10_2_770.txt",205,0.45045,7.65765,5.85585,3.15315,0.9009
"10_2_771.txt",214,2.5974,7.3593,4.7619,3.0303,1.7316
"10_3_772.txt",49,9.25925,11.1111,11.1111,-1.85185,-1.85185
"10_3_773.txt",51,9.25925,9.25925,7.4074,3.70371,3.7037
"10_3_774.txt",52,5.35713,0,1.78571,-1.78571,3.57142
"10_3_775.txt",52,10.71427,1.78572,0,-3.57143,3.57142
"10_3_776.txt",206,10.22218,3.1111,1.33332,-1.33336,3.55554
"10_3_777.txt",208,6.16741,3.96476,4.4053,5.28636,1.76212
"10_3_778.txt",209,8.9686,8.52017,4.4843,2.24215,4.03587
"10_4_779.txt",27,3.44828,13.79312,-3.44828,10.34484,0
"10_4_780.txt",44,2.12766,2.12766,6.38298,0,2.12766
"10_4_781.txt",44,0,10.6383,6.38298,6.38298,4.25532
