"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,4398,2199.5,1269.73757131149,2199.5,2199.5,1630.1187,1,4398,4397,0,-1.20081858485165,19.1463660607786
"WC",2,4398,120.783992723965,88.4114227143947,78,117.535795454545,83.0256,20,509,489,0.222549821169735,-1.58734228529313,1.3331553712281
"RC2",3,4398,1.40157583901774,3.0762704503978,0.46296,1.14048855397727,1.690542063,-13.7931,21.73915,35.53225,1.2059221466305,4.57574559018512,0.046387065702432
"RC6",4,4398,1.29431809458845,2.10759210337861,0.43668,0.833762335227273,0.647421768,0,31.81816,31.81816,3.17622248827517,18.3186406621427,0.0317803700779001
"RC9",5,4398,3.30829990677581,3.1234854190278,2.95358,2.99404247443182,2.402197476,-6.45162,28.57144,35.02306,1.31019960963399,4.4455865604991,0.0470990199624012
"RC3",6,4398,2.06763532969532,2.672032545784,1.68776,1.77307026988636,2.502272976,-8.69566,21.73915,30.43481,1.38267098673824,5.15984899521722,0.0402915644963176
"RC15",7,4398,1.49667179399727,2.74491102452772,0.863935,1.25132369602273,1.280870031,-12,19.23077,31.23077,1.20113652871841,3.99876224514624,0.0413904986883166
"RC4",8,4398,3.12163388358345,3.00402833937065,2.54238,2.68811278125,2.4055185,-4.54545,25.00002,29.54547,1.66119593483186,4.49883937166259,0.0452977272958346
"RC5",9,4398,1.29027287630741,2.42660347679529,0.45978,1.00047248579545,1.003104921,-8,20,28,1.70717172053539,6.27443763083236,0.0365907408749764
"RC7",10,4398,3.16860256252842,3.37167352364034,2.72729,2.86915959659091,2.724603672,-13.7931,23.80951,37.60261,0.873064875116371,2.68295532909885,0.0508414470671881
"RC13",11,4398,2.36338929968167,2.78991605939608,1.8391,2.02887850852273,2.726634834,-13.7931,21.73914,35.53224,1.18780267096104,4.23907280313801,0.0420691293688892
"RC14",12,4398,1.72723118235562,2.93833825056737,1.38249,1.59531772443182,2.049679674,-10.41667,18.75,29.16667,0.660652961234643,2.78867356278819,0.0443071867973807
"RC8",13,4398,0.999029718053661,2.68653902574245,0.46083,0.949623963068182,1.801232979,-13.63636,16.66666,30.30302,0.288784914762233,3.53868082772947,0.0405103076301849
"RC12",14,4398,2.11733267621646,3.0607999884966,1.83488,1.95835752556818,2.720393088,-11.53845,23.07691,34.61536,0.774318314068359,3.35214902764039,0.0461537866899949
"RC1",15,4398,3.0076279058663,3.38101722524695,2.620895,2.68878648863636,2.770912683,-10.52631,25.00002,35.52633,1.09858401588839,3.41895771171375,0.0509823406938436
"RC10",16,4398,1.33059309458845,2.44412064382521,0.87336,1.14452355681818,1.294843536,-10.71429,27.2727,37.98699,1.40034586319403,8.42227628817684,0.0368548821431254
"RC11",17,4398,0.0913020691223283,2.85772168938376,0,0.112365488636364,2.030954436,-17.39132,14.8148,32.20612,-0.146682687475046,2.99196390610661,0.0430915701015714
