

KMO_TEST:

KMO_METRIC: 0.691861271907544
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 51810, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC1   RC7   RC3   RC4   RC8   RC5   RC9  RC10    h2   u2 com
today         0.05  0.05  0.26  0.13  0.04  0.14  0.11  0.06 -0.04  0.13 0.146 0.85 3.6
final         0.32 -0.03 -0.01  0.00  0.20  0.05  0.00  0.10 -0.17 -0.09 0.191 0.81 2.8
lab           0.01 -0.11  0.33  0.08  0.06  0.03  0.10 -0.02 -0.13  0.14 0.179 0.82 2.5
computer      0.06  0.08  0.08 -0.02  0.02  0.14 -0.05  0.06 -0.02 -0.04 0.047 0.95 4.2
phone        -0.06  0.03  0.13 -0.06  0.00  0.02 -0.03  0.12  0.25 -0.02 0.104 0.90 2.5
close         0.01  0.05  0.07  0.02  0.18  0.00  0.05  0.00  0.15  0.05 0.065 0.93 2.9
breakfast     0.03 -0.05  0.05  0.46 -0.05  0.03  0.08  0.00  0.08 -0.06 0.238 0.76 1.2
hope          0.10  0.00  0.08  0.00  0.08  0.01  0.06 -0.08 -0.03  0.13 0.051 0.95 5.0
paper         0.11 -0.01  0.03 -0.02 -0.03  0.19 -0.18  0.03  0.02  0.02 0.085 0.91 2.9
room          0.18 -0.05 -0.02  0.05  0.05 -0.05  0.08  0.19  0.21 -0.14 0.150 0.85 4.7
break.        0.04  0.02 -0.04  0.17  0.16  0.00  0.05  0.09 -0.02  0.04 0.069 0.93 3.1
eat           0.00 -0.04 -0.01  0.69  0.04 -0.07 -0.01  0.05  0.01  0.04 0.483 0.52 1.1
test          0.37  0.05  0.06 -0.04 -0.02 -0.01 -0.06  0.03 -0.06  0.14 0.171 0.83 1.6
morning       0.08 -0.03  0.26  0.20 -0.01 -0.01  0.29  0.05 -0.01  0.11 0.214 0.79 3.4
told          0.00 -0.01  0.23 -0.09  0.22 -0.02  0.01 -0.06  0.21  0.00 0.156 0.84 3.4
people       -0.06  0.03  0.15  0.10  0.10  0.05 -0.05  0.05  0.16  0.39 0.231 0.77 2.2
decide        0.01 -0.03  0.05  0.14  0.12  0.13  0.14  0.14  0.09 -0.09 0.111 0.89 6.8
