"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3591,1796,1036.77673585011,1796,1796,1331.3748,1,3591,3590,0,-1.20100255269069,17.301252363148
"WC",2,3591,142.485937064884,83.6921421813482,201,142.813435433345,63.7518,30,509,479,-0.127655885673594,-1.52130227576489,1.39661589870137
"RC6",3,3591,3.62098347535505,2.94314415474817,2.95358,3.28638143752175,2.42197536,-2.77778,21.21212,23.9899,1.24062924888417,2.14661220584172,0.0491138332889674
"RC2",4,3591,1.41348069618491,3.25384691801976,0.86957,1.15656189697181,2.158680426,-11.11112,20.45454,31.56566,0.950958735452407,2.5720069420241,0.0542986978132293
"RC7",5,3591,2.56267636034531,2.44120208729594,2.12766,2.22593406891751,1.963614744,-4.54545,18.18182,22.72727,1.6208570693939,4.22398473567299,0.0407376553903085
"RC8",6,3591,2.64430798106377,2.93876608210285,2.22222,2.4032351862165,2.635736628,-9.80392,20.58826,30.39218,0.881109515857808,2.78944255122335,0.0490407740303231
"RC3",7,3591,2.34538996658312,2.60583359837269,2.04082,2.11833479289941,2.397497634,-10.86956,23.07692,33.94648,1.20507278555155,4.86709397156814,0.0434849501757474
"RC10",8,3591,3.20202540517962,3.06875449956571,2.91971,3.0292600382875,2.604809592,-12.82051,21.875,34.69551,0.689941063096742,2.56646494781384,0.0512099608350088
"RC9",9,3591,2.62014298802562,2.94967952054128,2.24215,2.34824567699269,2.265205236,-8.33333,21.21211,29.54544,1.1484712656194,3.31327015792512,0.0492228924614607
"RC1",10,3591,1.36704648008911,3.20414510160035,1.2,1.25430474068918,2.35837182,-11.6279,18.18181,29.80971,0.469706679249768,2.06396830836982,0.0534692968061995
"RC5",11,3591,1.96032309663047,2.47992574768683,1.33929,1.54416250957188,1.967958762,-3.125,25.64102,28.76602,2.56337592032106,11.4100342366476,0.0413838579888829
"RC14",12,3591,3.01589228905597,2.9180831951419,2.66667,2.81582773755656,2.2239,-20.51282,22.22222,42.73504,0.547774427648337,5.12080086266121,0.0486956275445502
"RC4",13,3591,0.138605630743525,3.20224437646513,0,0.177575262791507,2.745537984,-15.38461,18.42106,33.80567,-0.159100885972012,1.51443791114782,0.0534375783811035
"RC11",14,3591,1.04043852687274,1.86451416787107,0.42735,0.748895356769927,0.63358911,-4.25532,18.18181,22.43713,2.28452213461768,9.21030641196828,0.0311141531610004
"RC15",15,3591,2.67603232247285,2.5146703121751,2.22222,2.383422015315,2.005453716,-6.81818,19.44446,26.26264,1.25300310074697,2.9221905201036,0.0419636592688242
"RC12",16,3591,1.13234653856864,1.96903191579223,0.90498,1.07762772363383,1.341723348,-7.01755,13.51351,20.53106,0.490804209938974,2.78204917695016,0.0328582971706836
"RC13",17,3591,0.794952470064049,2.76613922041344,0.45249,0.70851899408284,1.98290337,-20.51282,14.7059,35.21872,0.133661871738818,5.11497333654504,0.0461600565185651
