"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,4398,2199.5,1269.73757131149,2199.5,2199.5,1630.1187,1,4398,4397,0,-1.20081858485165,19.1463660607786
"WC",2,4398,120.783992723965,88.4114227143947,78,117.535795454545,83.0256,20,509,489,0.222549821169735,-1.58734228529313,1.3331553712281
"RC2",3,4398,4.19651599818099,3.59262454398796,3.44827,3.73945005397727,2.901640938,0,27.27272,27.27272,1.41362671216826,2.90594864629211,0.054173166323718
"RC3",4,4398,3.91834153251478,3.30698971932516,3.49275,3.61569784659091,2.747865666,-8.33334,21.42858,29.76192,1.04059079823858,2.43941079288566,0.0498660803271593
"RC7",5,4398,3.54190874033652,3.60314467685365,2.85714,3.08870984090909,2.900321424,-12,31.81816,43.81816,1.42000925716202,3.90602196712149,0.0543317993510503
"RC6",6,4398,1.60538304229195,3.03625716770294,0.46512,1.19201370170455,1.227563148,-11.11111,26.08698,37.19809,2.02251599879093,7.83201681366871,0.0457837056262408
"RC4",7,4398,2.32248463847203,4.21395254538647,1.96078,2.17526882670455,2.971115574,-21.42858,31.25,52.67858,0.562575007278733,2.86100550621981,0.0635421679405643
"RC1",8,4398,3.24063037062301,3.17332905067121,2.68456,2.85858847727273,2.66808696,-12.5,21.73914,34.23914,1.2265140463507,3.23599699994877,0.0478506118179194
"RC10",9,4398,1.97116856980446,3.6699839171691,1.870905,1.94772973295455,2.773803753,-15.21739,33.33331,48.5507,0.273598630820463,3.58325060731689,0.0553396678990228
"RC5",10,4398,2.37443063437926,3.5425950506473,1.639345,1.90339552556818,2.430492897,-11.53846,33.33334,44.8718,1.90847722160918,7.43697695566556,0.0534187718606588
"RC9",11,4398,3.17731907003183,2.93353647633015,2.73972,2.84005532102273,2.268437304,-8.69566,21.73914,30.4348,1.16139401209669,3.18427840820473,0.0442347808692864
"RC8",12,4398,0.674512235106867,2.93539485064375,0,0.562298360795454,1.884666294,-15.38462,19.23075,34.61537,0.704083574899708,4.40490810788619,0.0442628032856423
