"Filename","WC","RC2","RC1","RC3","RC4","RC5"
"1_1_10.txt",113,2.41935,-3.22581,4.8387,3.2258,8.06451
"1_1_3.txt",33,5.71428,2.85714,2.85714,2.85714,2.85714
"1_1_4.txt",35,0,5.1282,7.6923,0,0
"1_1_5.txt",38,2.43902,2.43902,7.31706,7.31706,-2.43902
"1_1_6.txt",38,9.30232,11.6279,2.32558,6.97674,-4.65116
"1_1_7.txt",59,1.51515,0,7.57575,1.51515,1.51515
"1_1_8.txt",93,1.92308,2.88462,-0.96154,2.88462,1.92308
"1_1_9.txt",109,3.38984,2.54238,8.4746,3.38984,-0.84746
"1_10_83.txt",41,0,4.44444,4.44444,6.66666,2.22222
"1_10_84.txt",205,1.34529,4.03587,3.58744,2.69058,0
"1_10_85.txt",214,1.73913,4.34782,6.08694,6.95651,-2.17392
"1_10_86.txt",213,0,4.68084,-9.99999999978796e-06,2.55319,1.70212
"1_11_94.txt",204,1.35135,1.8018,5.4054,4.05405,0
"1_11_95.txt",207,2.24215,2.24215,5.82959,3.13901,-0.44843
"1_12_100.txt",218,3.40425,4.68084,3.82977,3.82978,-1.27659
"1_12_98.txt",204,2.27275,5.90912,4.54548,4.09094,-0.45455
"1_12_99.txt",207,4.10958,6.84931,9.58903,5.93607,-2.2831
"1_13_109.txt",37,7.5,0,2.5,5,0
"1_13_110.txt",201,3.24073,6.94443,1.38888,5.55555,1.85184
"1_13_111.txt",209,0.42918,3.00426,3.43345,0.85836,1.28755
"1_13_112.txt",216,3.31951,0.41495,2.0747,1.24482,0.82987
"1_14_118.txt",204,-0.45455,2.27275,0.9091,0,0.45455
"1_14_119.txt",208,-9.99999999995449e-06,7.55555,6.2222,0.88888,2.66666
"1_14_120.txt",208,9.99999999995449e-06,3.50878,6.14036,0.43861,0
"1_2_14.txt",32,0,0,5.71428,5.71428,-2.85714
"1_2_15.txt",32,0,2.94118,5.88236,-2.94118,0
"1_2_16.txt",33,2.63158,2.63158,2.63158,2.63158,5.26316
"1_2_17.txt",39,4.54546,0,4.54546,0,9.09091
"1_2_18.txt",173,2.6178,3.14136,3.66492,3.66492,0
"1_2_19.txt",201,2.2831,1.82648,1.82648,1.82648,0.91324
"1_2_20.txt",204,0.44843,0.89686,2.24215,0.89686,0
"1_3_27.txt",135,0.67568,2.70272,3.3784,-0.67568,1.35136
"1_3_28.txt",150,1.14942,1.72413,2.29884,-0.57471,1.72414
"1_3_29.txt",155,1.18344,0.59172,1.77516,1.77516,0
"1_4_33.txt",32,0,0,2.94118,2.94118,-2.94118
"1_4_34.txt",171,1.63044,2.17392,3.80436,1.63044,-1.08696
"1_4_35.txt",182,0,1,4.5,3.5,-1
"1_4_36.txt",191,0.47619,3.80952,4.7619,0.95238,-1.42857
"1_5_39.txt",36,0,0,2.5641,-2.5641,0
"1_5_40.txt",40,11.6279,0,9.30232,-2.32558,2.32558
"1_5_41.txt",202,3.16742,0.90498,6.78734,6.78734,-0.45249
"1_5_42.txt",207,-0.42553,3.82979,5.53191,0.42553,-1.2766
"1_5_43.txt",211,0,1.29309,3.01723,1.72414,0.86205
"1_6_46.txt",31,0,0,0,2.94118,0
"1_6_47.txt",204,1.32159,1.76212,3.08371,2.20265,0.88106
"1_6_48.txt",206,3.53983,3.98231,4.86727,2.65487,0
"1_6_49.txt",209,1.2987,3.0303,3.0303,3.4632,-0.8658
"1_7_51.txt",31,3.0303,3.0303,12.1212,6.0606,0
"1_7_52.txt",36,0,0,0,0,0
"1_7_53.txt",201,2.31481,1.38889,2.77776,1.85185,0.46296
"1_7_54.txt",203,0.4386,1.31579,3.07018,1.3158,2.19298
"1_7_55.txt",204,1.28205,0.8547,2.13675,0,0.8547
"1_8_57.txt",32,0,2.85714,0,0,0
"1_8_58.txt",34,0,2.63158,5.26316,-2.63158,0
"1_8_59.txt",33,0,2.7027,2.7027,2.7027,0
"1_8_60.txt",36,2.63158,2.63158,5.26316,7.89474,-5.26316
"1_8_61.txt",55,0,4.61538,6.15384,3.07692,0
"1_8_62.txt",207,1.8018,2.25225,4.5045,2.7027,-1.8018
"1_8_63.txt",207,-0.86956,3.04348,3.04348,-1.73913,1.73914
"1_8_64.txt",211,1.31004,1.31004,7.42356,2.62008,0
"1_9_70.txt",39,2.32558,2.32558,0,4.65116,-2.32558
"1_9_71.txt",47,0,0,6,0,8
"1_9_72.txt",202,1.2987,2.5974,3.4632,4.329,-2.1645
"1_9_73.txt",203,0.88496,4.42478,4.42479,1.76991,-0.88495
"1_9_74.txt",210,2.1645,4.329,4.7619,5.1948,0
"10_1_760.txt",32,5.71428,2.85714,2.85714,-2.85714,5.71428
"10_1_761.txt",39,9.5238,-4.7619,2.38095,0,4.7619
"10_1_762.txt",41,20.45454,-2.27272,0,-6.81818,9.0909
"10_1_763.txt",44,6.38298,10.6383,2.12766,-2.12766,0
"10_1_764.txt",63,2.98507,2.98507,1.49254,2.98507,-2.98507
"10_1_765.txt",85,8.69567,1.08696,7.6087,1.08695,5.43479
"10_1_766.txt",207,2.31481,5.55555,3.7037,1.38889,-0.46297
"10_1_767.txt",217,6.75105,8.01687,5.06328,-1.68777,1.26582
"10_1_768.txt",238,7.14286,0.79366,3.17461,1.19047,1.19048
"10_10_847.txt",33,22.22224,-5.55556,2.77778,-2.77778,11.11112
"10_10_848.txt",36,2.63158,18.42106,7.89474,5.26316,2.63158
"10_10_849.txt",41,11.1111,-2.22222,2.22222,0,4.44444
"10_10_850.txt",43,10.86957,-6.52175,2.17391,-2.17391,15.2174
"10_10_851.txt",43,6.52173,2.17391,0,-2.17391,-2.17391
"10_10_852.txt",65,5.71428,8.57142,2.85714,1.42857,0
"10_10_853.txt",201,5.04589,2.29359,2.75232,2.75231,0.91744
"10_10_854.txt",205,4.54547,6.36364,4.09092,1.8182,2.27275
"10_10_855.txt",215,-1.11022302462516e-16,7.20341,4.2373,0.84746,2.96611
"10_11_856.txt",32,8.82354,14.70589,1.00000000005096e-05,5.88236,5.88235
"10_11_857.txt",36,2.5641,7.6923,0,2.5641,5.1282
"10_11_858.txt",38,7.14285,2.38095,4.7619,2.38095,0
"10_11_859.txt",46,8,6,2,0,-2
"10_11_860.txt",50,1.85185,1.85185,5.55555,-1.85185,1.85185
"10_11_861.txt",50,7.40741,5.55556,1.85185,-5.55556,1.85185
