

KMO_TEST:

KMO_METRIC: 0.710592466342076
The KMO test yields a GOOD degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 57660, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC7   RC9   RC1  RC10   RC3   RC4   RC8   RC5    h2   u2 com
hope          0.12  0.00  0.02  0.04  0.01 -0.01  0.07  0.15  0.07 -0.06 0.054 0.95 3.7
leave        -0.04  0.02  0.04  0.04  0.23 -0.01  0.08  0.04  0.10  0.00 0.077 0.92 1.9
today         0.07  0.06  0.15  0.01  0.14  0.11  0.05  0.25  0.13  0.06 0.151 0.85 4.2
final         0.29 -0.03 -0.01 -0.12 -0.01  0.04  0.29 -0.05 -0.01  0.09 0.198 0.80 2.7
lab           0.04 -0.11  0.11 -0.04  0.15  0.00  0.06  0.32  0.13 -0.02 0.169 0.83 2.6
computer      0.04  0.07 -0.03 -0.04  0.08  0.15  0.04  0.03 -0.05  0.05 0.046 0.95 3.4
phone        -0.07  0.03 -0.07  0.17  0.22  0.06 -0.06 -0.01 -0.03  0.14 0.116 0.88 3.7
close         0.01  0.05  0.02  0.20  0.11  0.01  0.11  0.01  0.05  0.01 0.070 0.93 2.7
room          0.14 -0.07  0.01  0.11  0.19  0.01  0.05 -0.25  0.07  0.18 0.176 0.82 4.5
paper         0.11 -0.01 -0.01  0.00  0.03  0.21 -0.03  0.05 -0.17  0.02 0.091 0.91 2.8
break.        0.05  0.02  0.18  0.08 -0.03  0.01  0.12 -0.02  0.05  0.07 0.065 0.93 3.3
eat           0.00 -0.03  0.68  0.04  0.02 -0.06  0.02 -0.07 -0.02  0.04 0.483 0.52 1.1
test          0.39  0.05 -0.03 -0.03  0.01 -0.01  0.00  0.10 -0.05  0.03 0.170 0.83 1.2
morning       0.10 -0.02  0.21  0.01  0.18 -0.02 -0.01  0.17  0.31  0.05 0.214 0.79 3.6
told         -0.02 -0.01 -0.09  0.23  0.25 -0.01  0.16  0.09  0.01 -0.05 0.160 0.84 3.4
people        0.02  0.04  0.14  0.33  0.03  0.04 -0.03  0.31 -0.01  0.07 0.233 0.77 2.6
decide       -0.01 -0.03  0.13  0.06  0.12  0.14  0.13 -0.05  0.14  0.15 0.117 0.88 6.7
year          0.07 -0.02 -0.04  0.26  0.04 -0.01  0.17  0.05 -0.08  0.05 0.118 0.88 2.4
project      -0.04 -0.03 -0.07 -0.18 -0.05  0.30  0.24  0.15 -0.09  0.11 0.231 0.77 4.2
continue     -0.02  0.05 -0.03  0.14  0.08  0.15 -0.07  0.00  0.01  0.12 0.072 0.93 4.5
week          0.21  0.01 -0.01  0.05  0.12  0.01  0.22  0.15  0.12  0.05 0.145 0.85 4.3
annoy        -0.03  0.02 -0.08  0.08  0.12 -0.05 -0.05  0.35  0.04  0.00 0.155 0.84 1.7
note          0.25  0.29 -0.01  0.01  0.05  0.02 -0.08 -0.06 -0.04 -0.03 0.161 0.84 2.4
