"","RC2","RC1","RC3","RC4","RC5"
"relieve",0.00936272064176754,0.0184131679277862,0.00199769491801344,0.0287167374068416,0.0139795385668457
"frustrate",-4.58491069553811e-07,-0.0161975828912804,0.0249079157896445,0.0819998367230071,-0.0563931703998446
"long",-0.0032631465149492,0.033075758422832,0.0244603335576518,0.0229154966987771,0.00265758448501193
"happy",-0.0281125376715264,0.0378343542739885,0.0731042099373702,-0.0173932603040835,0.0423744839277272
"issue",0.000118145899077726,-0.0202127678554944,0.0297233576418895,0.0680847657158707,-0.0173621745824287
"work",-0.0184002884711874,0.0291815982269267,-0.00376851146774352,0.136308052838926,-0.0301512675889718
"email",-0.00515576174719815,-0.0132265461664857,0.0264963519294308,0.0415225448482906,-0.0370770403199716
"lunch",-0.0335484759755216,0.0921603689650838,0.0049604625748507,-0.0246678833118348,0.00343443350616289
"class",0.163412576742895,0.0215049928785828,-0.0197339874827195,-0.0849768964159242,0.0399000231199801
"call",-0.0220061180827183,-0.0250739307708458,0.0612716974880556,0.0542802494349164,0.0108105041331241
"place",-0.0227750626739015,0.00764449308712025,0.0575546090926585,0.0212717546619339,-0.00804099814124552
"study",0.0720506146746561,0.0687478879376719,-0.0402858196656479,0.0173263917072577,-0.0208900698069844
"enjoy",0.00313151988125463,0.0185697660827701,0.0425246415960474,-0.0383665346430515,0.0740822422785959
"thought",0.00331571776715396,-0.00716233871836576,0.0509095037901641,0.0473682298836277,0.0207424277765951
"learn",0.0663053691434486,-0.0311846121649257,0.0216690434905615,-0.000395264877848134,0.00234942818001659
"process",0.00790926154376275,-0.011589546705353,0.011739058505563,0.0500023231633709,-0.0189808374428601
"question",0.0846044723450321,-0.0310971257419953,0.0275093064556062,0.0288130589604017,-0.0403937279340464
"move",0.0086223473389012,-0.00912771755338919,0.0688814210533584,0.0136181233903114,-0.00588939284578336
"answer",0.0474855095877711,-0.0234875350673318,0.0471679378723609,0.0149243138618326,-0.0271515327960321
"discuss",0.0140355842608799,-0.0273056945727022,0.0656559469748432,0.0172115258268025,-0.030498732903213
"prepare",0.046648748673182,0.053125864939911,-0.0169605911105406,0.00658425697398745,-0.0171525608615781
"tomorrow",0.0290414314425617,0.0330794083982293,0.00221106282926297,0.001388848797457,-0.00828594955597164
"plan",-0.0166377088969334,0.0396502783491635,0.0456529356144256,0.0204159418421357,-0.0215433018003813
"complete",-0.0146051832895949,-0.00202508675804011,-0.011412365480418,0.147170539225597,0.0338716214164234
"task",-0.0223960051362764,-0.0255205930134413,0.00428889921133375,0.113073574644721,0.00848304331917411
"train",-0.0320070654946798,0.026513188858931,0.0425495225677112,0.00948053784186439,-0.0671683371587503
"session",0.00691747847271087,0.0282125692894397,-0.0267657463251706,0.0335937858706204,-0.0200680907896158
"day",0.00537707393136653,0.0831937692833139,0.0209146505538031,0.044561956593147,0.01199709145103
"busy",-0.0118514570550229,0.0154131814682222,0.035313808961587,0.0223625551178649,-0.0191068623072532
"start",0.0214377980606939,0.0452074023837705,0.0309655104010551,0.0439067187901471,0.0400587062570945
"fun",-0.005716728891557,-0.0060369055036778,0.067795537625408,-0.0114996969011638,0.0300766124552735
"conversation",-0.0175364782859415,-0.0174184356988245,0.0908567333428779,-0.000281370696036698,-0.0117575923424365
"friend",-0.00190640823121628,0.0296497189305508,0.0856762023668496,-0.0310721913892071,0.0300991586027867
"weekend",0.0067417583497907,0.0530548831217088,0.02554120773383,-0.0195139370163114,-0.00785940221504702
"stay",0.0247956698970944,0.00973296593201348,0.0184430924929947,0.0106359030461509,0.0342241475175062
"excite",-0.00985927586466141,0.0367318624699723,0.0615656878372301,-0.039253943906119,0.00876166873404176
"schedule",0.00981238315934457,0.0420685219872319,-0.0166758503776223,0.0516785604906271,-0.0358011459152677
"watch",-0.0235455939315435,-0.0315094356665204,0.00288039338431877,0.000829842398286437,0.22369775774348
"late",0.00367525086442323,0.080050095295625,-0.0205377699583579,0.0159250148523645,-0.0282219060456483
"job",-0.0119879108512617,-0.0286669726356129,0.0438098506229186,0.0747893223602527,-0.0300186683197328
"nervous",0.0659299399569346,0.0151039045899952,-0.00245601515772952,0.00638291521641594,-0.0292648673970851
"begin",0.0502918839875828,-1.59951633134976e-05,0.0350688637815963,-0.00495756476819199,0.0151591327887159
"show",0.000397318344630693,-0.0187276937625287,0.0347855989448082,0.00665635100152873,0.123884973678198
"hallway",0.00656384383866257,0.071634646652389,0.0173479476414727,-0.0470432180515447,-0.0264528813640123
"stress",0.0443905665371104,0.0420844376493075,-0.0160050918543482,0.0184350589644825,-0.0232101057661123
"left",-0.00472465784463134,0.0621034474638636,0.0176042067508114,-0.00658887789107046,-0.0316477550415703
"student",0.0276291079520025,-0.0145006081277824,0.0368287896980832,0.0506454032664945,-0.0438287875058154
"meet",-0.0186373513521749,0.0292829125785321,0.067739209265402,0.0224605265838446,-0.0800212878587145
"information",0.0424652095175748,-0.028336231045582,0.0280127097820477,0.0127547484120324,-0.0331225151858905
"great",0.00871801135952983,0.00368723989025835,0.0470866382763751,0.00655570844890823,0.0181320682073167
"research",-0.00214440893620265,0.00911061446434169,0.0185041198399928,0.0582996082029753,-0.0219674936263511
"read",0.0215259227748427,-0.0300513012777339,0.039547441736198,0.0151423835087061,0.0366527366434928
"due",0.0135313588838749,0.023207048125223,-0.0236982729047773,0.0888201434988881,0.015463384573437
"anxious",0.0420990040893689,0.0198976561903987,0.00406312295152129,0.00231919896250102,-0.0257773901943555
"office",-0.00914427064726354,-0.00277937873718574,0.0504232540882089,0.0371005224547184,-0.068861809367514
"book",0.000731615392038599,-0.0105552161362332,0.0350972572992582,0.00650194376336474,0.0182582239866147
"laptop",-0.00997707485432253,0.00179276201500359,0.0121812346401775,0.0244883062322079,0.0327780747044995
"leave",-0.00602711434280209,0.0403585477516183,0.0275496951037394,-0.00794240687861373,-0.0185728913122939
"today",0.00822445999117513,0.0527755981244751,0.00789282546311649,0.0596251935277599,-0.0130749449680534
"final",0.0495156138039261,0.0407006755907559,-0.0164071785804207,-0.00382837919638165,-0.0072282420017575
"desk",-0.0133435388827546,-0.0056670538763796,0.0185589307041597,0.0299467317812094,0.00687408242952897
"lab",-0.0235323078697092,0.0663934670430886,0.0119616554212063,0.0458825452618144,-0.0812352820046651
"computer",0.02022031429802,-0.013801920420062,0.00707350995982235,0.0421650050174592,0.0112492183337711
"phone",-0.00866149807739777,-0.0294952604486662,0.0621642699943183,0.00994024420436931,0.0503258459160638
"deal",-0.0149678556094872,-0.0251070089333975,0.0479207685160331,0.0518041236722401,-0.00255928587415778
"close",0.00558309781958061,0.00728091330123047,0.0579307549458035,-0.00603143213322797,0.0114086942806041
"breakfast",-0.0276394657779465,0.117210845699803,-0.0269671333333334,-0.0336073520794781,0.00580303435908378
"hope",0.0202786407743739,0.0210478091042509,0.013129431708128,0.0169365363459871,-0.0420710903464301
"room",0.0125652228872679,0.0468068855780431,0.0144551235985696,-0.0537348045004717,0.0629832257555258
"paper",0.00974345150767033,-0.0236502746030287,0.00205961297537665,0.0635654469669433,-0.0091393365026236
"break.",0.00405421555355966,0.0400808334413525,0.0174499094816372,-0.0256456577881037,0.0278164067377805
"eat",-0.0356421573185684,0.148779527382716,-0.0140982791438235,-0.0759514011336492,0.0057407535103216
"test",0.0809562214542973,0.00930801513162905,-0.0108349337785887,0.00275304488087441,-0.0222781672928703
"morning",-0.000545998932404765,0.109244819027972,-0.0187897922079852,0.00901768517613298,-0.00881772299762953
"fact",0.0159571888847391,0.00764779458464714,0.0246494447442098,0.00938831425318945,0.00771012795745064
"told",-0.00535830111015696,0.0051844710967359,0.0912603751617292,-0.00511082521984628,-0.0373701101889374
"people",-0.0109518985007316,-0.00330902822609124,0.0780577291572121,0.0493959929614144,-5.58318347514451e-05
"idea",0.0166975753828872,-0.0342345672789424,0.0433550760714066,0.0349137212996901,0.0115810498840233
"decide",-0.0191295390488953,0.050249856202343,0.0113081263653283,0.0195270538949562,0.0507355032082895
"year",0.00413748353874631,-0.0135144245808333,0.0876487630180358,-0.00195729341366184,-0.00621627732864093
"data",-0.0176476894865677,-0.013502712698166,0.0370381127768262,0.0662504797282905,-0.0715669596739938
"project",-0.0170813658718695,-0.0394159457465291,-0.00146927135010738,0.124230923903195,0.00262254162327265
"interact",-0.0128572812833422,-0.0359605303874951,-0.0363289565080034,0.100883404215036,0.0655193281814676
"speak",0.00801762966331551,-0.0174806200551513,0.0464168373502262,0.00703697248691161,-0.00615189913631826
"continue",0.000801307508338968,-0.0262082579881536,0.0234024886705296,0.0303437576809257,0.0684254902163106
"week",0.0372199897589525,0.0427270097923173,0.0326546306101133,0.0144335790567597,-0.0276327173349552
"annoy",-0.00608501369852633,-0.0187864627260632,0.0537800588895334,0.041593067437277,-0.0488968114362014
"note",0.102046765594772,-0.0122026592848719,-0.0136933570063275,-0.0279363330282149,0.0180286636096467
"rest",0.0182289258616515,0.0412300766079936,-0.0125088623347275,-0.00421755381066493,0.0360373169772481
"wait",-0.0181245788412877,0.0699401476703677,0.0311666090797375,-0.0271363846737276,-0.0542587660493619
"expect",-0.00193825752787819,0.0272523364222233,0.0172124577092061,0.0300961020622896,-0.0220887387284945
"alone",-0.0291253047583775,0.0210586951169563,-0.0617825392010439,0.124268271678665,0.076995921595081
"event",-0.0114935691888839,-0.00297963671638665,0.028832457591075,0.0149146539584065,0.0061393264620281
"remember",0.00130309117454778,0.00389104344339815,0.0301788850433586,0.000505981617828722,-0.00498236039608641
"hour",0.030968407246825,0.0453929113526164,0.012133761778896,0.00483863661892095,-0.00631498665825078
"stop",-0.000732511880752942,0.0159006493058972,0.0512521865587176,-0.00194990198278222,-0.00535956792745548
"understand",0.0673644173990373,-0.0368229322971275,0.0132096575676352,0.0271040956406914,-0.000164137082996627
"early",0.0163644432876042,0.0835162816177549,-0.0152651154796201,-8.09109093625811e-05,0.00237455275345958
"worry",0.0301854438863573,0.0264792372148364,-0.0109345072666109,0.031906616072251,-0.0223509771608239
"minute",0.0283900455249099,0.0310183633454767,0.0281410691457956,-0.00711634915963878,0.00440597501047697
"consider",0.0353568269458888,0.00102042921447409,0.0398414856394738,-0.0181445627335115,0.0273046041905952
"turn",0.00547988381248409,0.00309612799957162,0.0324422478959569,0.0250188085081397,0.0303566077891152
"mind",-0.00996623098930464,-0.0252828594481668,-0.028594378549642,0.128966257475755,0.0651017957614011
"talk",0.00920091481947744,-0.0152599190849307,0.121516154657408,-0.0437722898238465,-0.00231574329824499
"interview",0.000968626366887078,-0.0200153592811849,0.00454997788719289,0.0649978602192519,0.00506506594260881
"news",-0.008019150657023,-0.0151947904443647,0.0216643974613483,0.0172034885376534,0.0258910388257834
"hear",-0.0118218509711882,-0.0119596778287039,0.0752116625945491,-0.00143512512026526,-0.0189765660358113
"interest",0.0359440663547884,-0.0593674199137811,0.0548675709759943,0.0303623037624556,0.0496869357600407
"focus",0.0380278780478583,-0.0119722052898181,-0.021843159359673,0.0635051460026146,0.0347595534564597
"reason",-0.00902950304104914,-0.00303540029397782,0.0257722392100359,0.0472709569941931,-0.00983070440673232
"review",0.0630554648591332,0.0206043790896139,-0.0265936305675559,0.0131049215459094,-0.0230768771210723
"realize",0.0198162237237513,0.0238523567803846,0.0206598347781227,0.0212817610613777,-0.013928964529885
"suppose",-0.00614593447459236,0.0150992417609146,0.0105586800456824,0.059853772941423,-0.00542147121493023
"ready",0.00774153921828368,0.0653272371614671,-0.0112787260229298,-0.0127834113066185,-0.00907866290555036
"quick",0.0177900826545832,0.0417148003528953,0.0178480882835956,-0.0173287086105779,-0.031939626831706
"write",0.0476870406038916,-0.0287761770433992,0.00611257224124504,0.0406029475238152,-0.00644979800989811
"play",-0.00491708223196851,-0.0346317403190445,0.0433507150125301,0.00435563137390216,0.124567664775823
"end",0.0322091150948074,0.0171342494266633,0.0280642620016327,0.00599822855695385,-0.000245531325774478
"text",0.00678286854367146,0.0099208941727034,0.0495011810329417,-0.0296425311300969,0.0325350233655627
"nice",-0.00542429624521757,0.043385041556447,0.073405686782389,-0.0452962628603328,-0.0124408121833112
"tire",0.0156231898087669,0.0588009825541985,-0.0754870793209589,0.0111818734093184,0.0542744582646582
