"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3758,1879.5,1084.98548377386,1879.5,1879.5,1392.9027,1,3758,3757,0,-1.20095799875455,17.6988700204279
"WC",2,3758,144.318520489622,82.7246326508107,201,144.989694148936,59.304,31,509,478,-0.156945535155928,-1.47167828428484,1.34944894901424
"RC2",3,3758,3.56978597658329,3.13988609123869,2.807495,3.21733496343085,2.486031093,-10.81081,22.58066,33.39147,1.23280168389094,3.04312973486864,0.0512195201123682
"RC5",4,3758,2.44436230707823,2.47140718280411,2,2.12108590757979,2.171920044,-4.54545,22.22224,26.76769,1.70683614187956,5.90170025380778,0.0403149306144251
"RC13",5,3758,1.06263449707291,2.48138755977103,0.42194,0.771171572473404,1.182477282,-8.82353,19.99998,28.82351,1.83234161173985,6.76718421609546,0.0404777359213478
"RC7",6,3758,1.91260377594465,2.40490801677128,1.37615,1.59345073803191,2.04027999,-8.82353,16.66666,25.49019,1.52403368999781,4.27153090563885,0.0392301602523479
"RC1",7,3758,3.52636033794572,3.15458724454398,3.17461,3.34205756981383,2.729896554,-9.30232,22.22224,31.52456,0.709482133832466,2.27743224127947,0.0514593332761312
"RC4",8,3758,1.87244353113358,2.91394999521518,1.52094,1.63319252992021,2.254945644,-8.88889,21.6216,30.51049,1.24773193955309,4.05627509238061,0.0475339283175968
"RC14",9,3758,0.546840601383715,3.3301832357712,0.426445,0.570819684175532,2.897749113,-13.8889,16.66665,30.55555,-0.0884739733315726,1.19322495983416,0.0543237500552652
"RC10",10,3758,2.96651738690793,2.80769363043701,2.63158,2.76687039228723,2.384680557,-10.25641,22.22222,32.47863,0.866655367327783,2.87929873674709,0.0458006170270986
"RC3",11,3758,2.21021031133582,2.81470705671067,1.8868,2.0503092087766,2.569508886,-15.38461,19.99998,35.38459,0.779711030331304,3.61553382603587,0.045915023829652
"RC12",12,3758,1.99903425492283,3.13992589570373,2.131445,2.03197256648936,2.932790364,-13.8889,21.05263,34.94153,-0.0849771292412167,2.02384041233918,0.05122016942433
"RC6",13,3758,1.79977456093667,2.65638039118555,1.33333,1.50850760970745,1.976795058,-8.33333,24.24242,32.57575,1.88537610104221,8.17185763681513,0.0433323136314011
"RC8",14,3758,2.49518159659393,2.11489204993293,2.155165,2.22482129321809,1.709282127,0,15.21739,15.21739,1.44784969249311,3.18285537175799,0.0344992629475593
"RC15",15,3758,1.68606629590208,3.00418232383762,1.440575,1.58100105053191,2.135796495,-13.04347,28.20512,41.24859,0.646451824159192,3.48253742360871,0.0490058468638011
"RC11",16,3758,1.23594286588611,2.49686969779354,1.08696,1.17032749335106,1.690490172,-11.6279,15.11628,26.74418,0.323230315526188,2.51635493964945,0.0407302889302098
"RC9",17,3758,1.14787753060138,2.70382124728416,0.89686,1.06480682513298,1.968737127,-13.15789,15.38461,28.5425,0.328749335551941,2.64943771835149,0.0441061945342373
