"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3758,1879.5,1084.98548377386,1879.5,1879.5,1392.9027,1,3758,3757,0,-1.20095799875455,17.6988700204279
"WC",2,3758,144.318520489622,82.7246326508107,201,144.989694148936,59.304,31,509,478,-0.156945535155928,-1.47167828428484,1.34944894901424
"RC1",3,3758,3.670926841405,3.06575458888921,2.88462,3.31762831781915,2.390077221,-6.52175,27.27272,33.79447,1.41011405159599,3.64277004283028,0.0500102469523819
"RC2",4,3758,1.5351481053752,2.61715242682557,0.858365,1.1714123537234,1.272611949,-8.33334,20.45454,28.78788,1.89796163259586,6.21763114113392,0.0426924058605077
"RC7",5,3758,2.80328381053752,2.50681803681897,2.2831,2.46682111702128,2.043200712,0,21.21211,21.21211,1.66546502016281,4.57181253364167,0.0408925716169032
"RC3",6,3758,2.82496524481107,2.72627876325489,2.5,2.59893896609043,2.388646512,-10.25641,18.18182,28.43823,0.987869332333741,2.76740641919676,0.0444725336807898
"RC6",7,3758,1.46932708621607,3.58338499173955,1.369855,1.4499754587766,2.729726055,-15.38461,20.45454,35.83915,0.0785958999642682,1.57372966240411,0.0584541140415561
"RC8",8,3758,3.13484509313465,3.08951284432019,2.69058,2.90739474069149,2.727264939,-15.78947,19.44446,35.23393,0.699590593695976,2.14453817976891,0.0503978044645086
"RC4",9,3758,2.33542034858968,3.02401329657007,2.036655,2.10506221409574,2.435845083,-8.88889,19.51217,28.40106,1.01354058496012,2.94883421974201,0.0493293404164977
"RC10",10,3758,2.95569163384779,2.84736698591746,2.7027,2.81512436835106,2.439047499,-10.1695,25,35.1695,0.639474540210344,3.23260096864038,0.0464477902588365
"RC5",11,3758,2.39089058807877,2.69024174843138,1.82648,2.00762212101064,2.02471269,-4.65116,28.20512,32.85628,2.11972004723147,8.48199966255221,0.043884678404545
"RC9",12,3758,2.3215844199042,2.60658853704192,2.17391,2.20462845412234,2.49640188,-11.11112,17.77776,28.88888,0.416004173490367,2.63119956439066,0.0425200819769287
