Study,PPID,totalEmotions,negEmotions,posEmotions,giniCoefThemeZ,numPromptsZ,mNegativeZ,mPositiveZ,negGranZ,posGranZ
2,40,39,20,19,-0.721207325,-0.049927196,-0.519990542,-1.440288495,1.041665964,2.170900122
2,41,39,20,19,0.383579558,-0.049927196,-0.887073533,-0.459735173,0.822238877,0.009912453
2,42,39,20,19,-0.942164702,-0.049927196,-0.919273031,-1.763967734,1.006178787,0.195594138
2,43,39,20,19,-1.737611257,-0.049927196,-0.229817064,0.325849084,-0.152098056,0.259042612
2,44,39,20,19,-0.352945031,-0.049927196,-0.853487939,-1.398079519,-0.098503526,0.134823674
2,45,39,20,19,0.217861525,-0.049927196,1.244015112,0.088815036,-1.244346782,-0.898790303
2,46,39,20,19,-0.146718146,-0.049927196,-0.252532233,1.208469267,-0.68113479,-1.639505054
2,47,39,20,19,-0.146718146,1.214895111,-0.248313069,1.741445919,-0.498176368,-0.642350753
2,48,39,20,19,0.572971595,-0.049927196,-0.971273371,-1.059614749,0.28578475,0.876052232
2,49,39,20,19,1.21216972,-0.049927196,-0.814689974,-0.035249997,0.67472053,0.652707021
2,50,39,20,19,0.383579558,3.744539727,-0.366913998,0.237193039,0.285312425,-0.445579226
2,51,39,20,19,0.088969722,-0.049927196,-0.559156801,-1.050800615,0.946626613,1.079982871
2,52,39,20,19,0.972799228,-0.049927196,2.314658717,0.510107588,-1.363376766,-0.241679109
2,53,39,20,19,-0.184596553,-0.049927196,-0.30376412,0.979933684,0.266621384,0.114495844
2,54,39,20,19,-1.131556739,3.744539727,1.372338904,-0.992107233,-0.793036931,-0.061935404
2,55,39,20,19,0.624623968,-3.84439412,0.249721808,1.447564907,0.529326464,-0.399179892
2,56,39,20,19,-0.67701585,-0.049927196,0.127306387,-0.131730503,0.150051379,-1.158731325
2,58,39,20,19,1.48836644,-0.049927196,0.199937122,0.217656933,-0.472576035,-1.274838598
2,59,39,20,19,-0.11357454,-0.049927196,-0.250055767,0.984703876,-0.34116233,-0.606457829
2,61,39,20,19,0.383579558,-0.049927196,-0.694135618,0.510182479,-0.65009833,-0.916960976
2,62,39,20,19,-1.936472896,-0.049927196,-0.580044838,-0.966304829,0.312829896,0.872996292
2,63,39,20,19,-1.605036831,-0.049927196,0.226023438,0.293310092,-0.744674223,-0.298562179
2,64,39,20,19,-1.273600766,-0.049927196,0.467669054,-0.268634618,1.581506753,1.11345891
2,66,39,20,19,-1.207313553,-0.049927196,-0.625653083,-0.27250684,-1.689645258,-0.016351511
2,67,39,20,19,-0.445010604,-0.049927196,0.086484849,0.814116099,0.753757938,1.11627041
2,69,39,20,19,2.191412638,-0.049927196,-0.395938654,1.041519203,0.368365182,-0.031262273
2,70,39,20,19,1.21216972,-3.84439412,-0.530051184,0.497060113,-0.545951592,-0.802486614
2,71,39,20,19,0.077638575,-0.049927196,-0.991775762,-0.941107598,-0.063712507,0.7526076
2,72,39,20,19,2.040759882,-0.049927196,3.474975805,0.555655722,-1.646789901,-1.914203737
2,73,39,20,19,-1.207313553,-0.049927196,2.0056998,-0.475548765,-0.7148968,-0.032877541
2,74,39,20,19,1.199422179,-0.049927196,0.142104578,-1.669985151,0.156194573,-1.014707408
2,75,39,20,19,-0.942164702,-0.049927196,-0.474241094,-0.698968637,-0.595507995,0.037112309
2,76,39,20,19,1.856628735,-0.049927196,-0.547554683,-1.345487991,1.264524803,0.82435574
2,77,39,20,19,-0.942164702,-0.049927196,-0.050517579,-0.651720946,1.3052121,2.213888296
2,79,39,20,19,1.468279406,-0.049927196,1.729783408,1.480670457,0.280703327,-0.059487561
2,80,39,20,19,0.088969722,-0.049927196,-0.06613158,-0.90201681,-1.665502623,-0.656990403
2,81,39,20,19,-0.11357454,-0.049927196,-1.019553475,-1.417020722,0.920635178,0.207010862
2,82,39,20,19,0.572971595,-0.049927196,-0.203317388,-0.250039441,0.922657836,-1.591128933
2,83,39,20,19,-1.273600766,-0.049927196,-0.732966602,-0.720423091,1.10079449,2.006047839
2,84,39,20,19,0.587540213,-0.049927196,0.428404147,-0.5127832,1.161605963,1.015259166
3,1003,7,5,2,0.74091632,1.672383483,-1.360226313,2.172292791,-1.007996484,1.206074769
3,1004,7,5,2,1.175035627,0.314940293,-1.002862933,1.66593159,0.497583208,0.471875348
3,1005,7,5,2,-0.336574045,-0.779771956,-0.513701199,-0.030471118,-0.686726816,0.284623304
3,1007,7,5,2,1.795790696,2.810884223,-0.625762948,-0.102366304,-0.529358638,-0.070862235
3,1008,7,5,2,1.093443059,1.365864053,0.39733606,-0.142570154,-0.244379704,-0.733984518
3,1009,7,5,2,0.230279582,1.935114423,-0.753126119,1.099058046,1.622082734,0.4813878
3,1010,7,5,2,0.713154894,-0.254310077,-0.368562824,0.248739292,0.643091701,1.1657815
3,1011,7,5,2,-0.614054841,-0.560829506,-0.405194478,0.591916838,0.330266031,0.696249302
3,1017,7,5,2,0.42125166,-0.210521587,-1.125300729,-0.012161451,0.156975908,-0.451953163
3,1018,7,5,2,-1.109556263,-0.779771956,-0.953812153,1.592638699,0.489172168,0.282235696
3,1020,7,5,2,1.071971331,0.840402173,-0.902956017,2.078087485,0.055733777,-0.315141857
3,1024,7,5,2,-0.645766932,-0.341887056,1.568936304,-1.995669271,0.725019528,-0.575074618
3,1029,7,5,2,0.436408174,-0.166733097,0.498472421,-0.903455489,0.518710233,0.549723103
3,1030,7,5,2,0.925075093,-0.210521587,-0.725938515,0.25593373,-1.99906805,-0.683611056
3,1031,7,5,2,0.099467207,1.803748953,0.546171196,-0.589443425,-0.30595292,-0.72244385
3,1032,7,5,2,0.605220382,0.358728783,0.45548018,-0.066699617,1.096981923,0.014164911
3,1033,7,5,2,0.815321026,1.978902913,-0.017928582,-0.639341143,-0.505723374,-0.00904294
3,1034,7,5,2,0.225594842,0.884190663,1.817971854,-0.893817542,0.697644541,0.899869454
3,1035,7,5,2,0.465037145,-0.079156117,3.452058454,-3.222403508,-0.640153538,-1.749085345
3,1036,7,5,2,0.625359383,0.752825193,-0.785479217,0.401352158,1.622082734,-0.08507385
3,1037,7,5,2,-0.050284334,-0.473252526,0.264467888,0.480653087,0.802367181,0.167608282
3,1038,7,5,2,0.544459452,-0.035367627,1.332909249,-1.429590451,-0.846420597,-1.060653384
3,1039,7,5,2,-1.367217002,-0.560829506,0.115959858,0.077378007,0.13611093,-0.264479986
3,1040,7,5,2,0.178747434,-0.473252526,-0.758460284,1.132242797,1.313175357,0.290731419
3,1041,7,5,2,-1.882538481,-0.604617996,-0.038887199,-1.01840847,0.506552489,-0.690917884
3,1042,7,5,2,-1.109556263,-0.779771956,0.079800504,-0.742696621,-0.212428894,1.208164675
3,1043,7,5,2,1.492311988,0.884190663,-0.474190411,0.979013112,1.537373783,-0.183356818
3,1044,7,5,2,-1.367217002,-0.735983466,2.905646471,-1.868641664,0.422592133,0.408082983
3,1045,7,5,2,-0.410191399,-0.473252526,-1.111856721,0.0849505,0.74265496,0.904251451
3,1046,7,5,2,1.024403195,0.446305763,-0.321301852,-0.494086182,1.141007794,0.308161129
3,1047,7,5,2,1.323906276,-0.385675546,-0.346939341,-0.320358784,1.400541744,0.78154926
3,1050,7,5,2,0.178747434,-0.604617996,-0.418608974,-0.453607112,-0.669974649,-1.976536293
3,1051,7,5,2,1.540988561,3.423923083,0.204621711,0.299961278,0.360146183,1.980444317
3,1052,7,5,2,-0.336574045,-0.735983466,-0.223018328,0.19474118,-0.270451109,-0.556125906
3,1054,7,5,2,0.325982143,-0.692194976,-0.470130333,-0.455887708,0.715098372,0.607814241
3,1055,7,5,2,0.325982143,-0.560829506,-1.045703547,-0.933884671,-0.407855719,-1.507414462
3,1056,7,5,2,-0.336574045,-0.779771956,0.014371128,0.814985556,-0.935895008,-0.09755554
3,1058,7,5,2,-2.39785996,-0.823560446,-0.558935121,-0.772452974,0.780129172,0.276341553
3,1060,7,5,2,-1.367217002,-0.823560446,-0.79425952,-0.15421203,-1.177503773,1.610675136
3,1061,7,5,2,0.178747434,-0.429464036,2.165188215,-1.063048976,-2.425086547,-1.242314707
3,1062,7,5,2,-0.336574045,-0.779771956,0.455828919,0.351692671,-1.382890683,-0.123199449
3,1063,7,5,2,-0.26295669,-0.779771956,-0.193417661,-0.049414361,0.619997023,0.163313511
3,1064,7,5,2,0.694068913,-0.823560446,-0.820979551,0.489982298,-0.068515281,1.935726361
3,1065,7,5,2,1.500659054,-0.035367627,-0.986526966,1.395884887,0.484365823,-0.312453594
3,1068,7,5,2,-0.851895524,-0.517041016,0.445777674,-0.024397148,-1.384741524,-2.119850958
3,1069,7,5,2,-1.367217002,-0.735983466,0.674922334,0.490075666,-1.129705563,1.091938069
3,1070,7,5,2,-0.631043461,-0.035367627,-0.606246652,-0.166770506,-0.529671034,-1.39974456
3,1071,7,5,2,0.006973608,-0.473252526,-0.08260341,-0.332163158,1.517499218,0.727600477
3,1072,7,5,2,-2.39785996,-0.823560446,0.744971272,0.455994823,-0.470439084,0.170269152
3,1073,7,5,2,-1.109556263,-0.473252526,0.283373236,1.028924281,0.502152441,0.517736795
3,1074,7,5,2,0.178747434,-0.035367627,0.675503526,-0.037445371,-2.303225735,-2.843189863
3,1076,7,5,2,-0.645766932,-0.604617996,-0.306850558,0.533034433,-1.302944362,0.571672837
