Study,PPID,totalEmotions,negEmotions,giniCoefThemeZ,numPromptsZ,mNegativeZ,negGranZ
3,1042,7,5,-1.531598759,-0.823248519,0.072227866,-0.307059115
3,1043,7,5,0.85157806,0.775699624,-0.467999479,1.708590354
3,1044,7,5,-0.173742199,-0.731880054,2.827867398,-1.00177368
3,1045,7,5,-0.022869248,-0.457774658,-1.089823354,0.778918334
3,1046,7,5,0.999714087,0.36454153,-0.318909343,0.351677074
3,1047,7,5,0.41466231,-0.412090425,-0.343909884,1.362063224
3,1050,7,5,-1.078979905,-0.640511589,-0.413798929,-0.232372912
3,1051,7,5,1.709475529,2.740121629,0.193947966,0.346694212
3,1054,7,5,0.731495507,-0.731880054,-0.46404027,0.705654494
3,1055,7,5,-0.988456135,-0.594827356,-1.025313716,-0.076536173
3,1056,7,5,-1.078979905,-0.777564287,0.008424045,-0.719836553
3,1058,7,5,-1.984217612,-0.823248519,-0.550638757,0.550804241
3,1060,7,5,-1.078979905,-0.823248519,-0.780116664,-0.965638962
3,1061,7,5,0.037479932,-0.412090425,2.10580538,-2.040421569
3,1063,7,5,-0.173742199,-0.777564287,-0.194202357,0.771355643
3,1064,7,5,-0.173742199,-0.823248519,-0.806172852,0.213860986
3,1065,7,5,1.096510711,-0.229353495,-0.967607341,0.791451013
3,1068,7,5,-1.984217612,-0.640511589,0.429112555,-1.378855083
3,1069,7,5,-1.531598759,-0.731880054,0.652564254,-1.325287436
3,1070,7,5,0.832077475,-0.046616564,-0.596774862,-0.275668691
3,1071,7,5,-1.078979905,-0.777564287,-0.08614122,1.583248574
3,1072,7,5,-1.984217612,-0.823248519,0.72087287,-0.331565594
3,1073,7,5,-0.109082363,-0.457774658,0.270742958,0.676079443
3,1074,7,5,-0.278192704,-0.000932331,0.653131007,-2.064958053
3,1076,7,5,-0.109082363,-0.594827356,-0.304817083,-1.487757066
